Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
701,0,50.1042,-161.216,985.858,55.3812,80.5795,979.417,278.701,-127.999,999.939,251.355,93.4955,988.729,86.6041,-221.55,686.876,120.62,-210.884,560.502,148.2,-231.177,439.464,230.187,-210.755,78.3984,309.018,-145.517,73.1783,59.2382,-230.614,42.2316,109.493,157.38,837.516,128.671,171.594,562.247,171.322,189.368,278.286,230.605,180.386,77.8394,282.195,93.2543,59.6177,70.5716,249.562,42.5646
702,0,49.857,-159.099,985.937,54.9978,82.6173,979.157,278.275,-126.084,999.771,250.999,95.5719,988.314,86.3011,-220.038,687.151,120.349,-209.688,560.673,147.972,-230.245,439.737,230.103,-210.761,78.4538,308.941,-145.513,73.2206,59.1996,-230.6,42.2653,109.599,158.756,836.61,127.884,172.33,561.771,171.211,190.059,277.738,230.906,180.242,77.5341,281.424,93.623,58.9048,71.0718,249.637,42.085
703,0,49.5694,-156.996,985.94,54.4928,84.709,978.918,277.865,-123.915,999.654,250.614,97.6704,987.876,85.9614,-218.779,687.476,120.113,-208.393,560.894,147.795,-229.186,439.909,230.06,-210.76,78.4834,308.903,-145.434,73.1825,59.1487,-230.584,42.2261,108.932,160.662,836.23,127.573,173.359,561.223,170.547,190.793,277.121,231.342,179.427,76.6921,282.282,93.4329,59.7353,71.472,249.639,41.363
704,0,49.4487,-154.843,986.01,54.0026,86.8377,978.594,277.859,-121.821,999.789,250.153,99.8687,987.367,85.6994,-217.053,687.645,119.784,-207.016,560.89,147.69,-228.155,440.115,230.026,-210.723,78.4626,308.892,-145.381,73.1662,59.1396,-230.608,42.1699,108.21,162.581,835.764,127.575,174.676,560.854,169.41,191.588,276.365,231.031,180.038,75.858,282.307,93.269,59.4267,71.606,249.693,41.0538
705,0,49.2563,-152.762,986.153,53.4768,88.9337,978.389,277.533,-119.513,999.589,249.72,102.182,987.061,85.7978,-214.968,687.556,119.753,-205.544,561.174,147.667,-227.09,440.486,229.989,-210.704,78.469,308.925,-145.384,73.2526,59.1601,-230.598,42.2101,107.72,164.441,835.476,127.781,176.157,560.484,168.053,192.214,275.63,230.965,179.539,75.2447,282.111,93.5599,59.4289,71.3714,249.742,40.8948
706,0,49.1747,-150.641,986.298,52.8495,91.0402,978.341,277.258,-116.97,999.545,249.138,104.539,986.621,85.6453,-213.256,687.817,119.491,-204.082,561.334,147.623,-225.931,440.781,229.974,-210.684,78.5504,308.873,-145.387,73.2738,59.1891,-230.601,42.2389,107.493,166.122,834.973,127.673,177.523,560.125,167.008,192.888,274.954,230.603,179.716,75.0532,282.298,93.5268,59.4778,71.0675,249.769,40.5226
707,0,48.9737,-148.567,986.458,52.3639,93.1669,978.091,277.084,-114.307,999.643,248.525,106.981,986.279,85.5734,-211.422,688.03,119.473,-202.539,561.668,147.583,-224.66,441.151,229.938,-210.638,78.6183,308.897,-145.28,73.4115,59.1634,-230.634,42.201,106.485,168.384,834.948,127.126,178.984,559.961,166.497,193.624,274.617,230.329,179.819,75.2029,282.15,93.6129,59.1781,70.8806,249.808,40.064
708,0,48.7864,-146.442,986.697,51.9427,95.2593,977.89,277.205,-111.974,1000.04,247.821,109.451,986.034,85.2971,-210.109,688.585,119.318,-201.127,561.859,147.461,-223.465,441.531,229.87,-210.6,78.5659,308.889,-145.276,73.3605,59.1678,-230.612,42.254,105.992,170.585,834.899,126.398,180.473,559.563,166.673,194.363,274.367,229.843,180.225,75.4012,282.213,93.6664,59.3496,70.7964,249.855,39.7809
709,0,48.4967,-144.291,987.003,51.4199,97.4051,977.797,,,,247.128,111.919,985.899,85.2295,-208.35,688.942,119.148,-199.734,562.322,147.351,-222.174,441.947,229.895,-210.567,78.7134,308.854,-145.172,73.515,59.1738,-230.601,42.2808,105.519,172.727,834.512,125.849,181.908,559.261,166.968,195.083,274.014,230.021,180.207,75.7479,282.317,93.7199,59.5545,70.8345,249.886,39.5779
710,0,48.3645,-141.934,987.344,50.9424,99.7081,977.72,276.589,-106.718,1000.09,246.558,114.388,985.696,85.4563,-206.266,689.081,119.029,-198.283,562.59,147.343,-221.084,442.34,229.877,-210.513,78.8139,308.849,-145.11,73.5717,59.1805,-230.579,42.3164,105.01,175.082,834.498,125.691,183.461,559.017,167.145,195.759,273.534,230.212,180.188,75.8604,282.241,93.7957,59.4227,70.8933,249.931,39.3877
711,0,48.1066,-139.563,987.592,50.5932,102.093,977.702,276.302,-103.903,1000,246.167,116.994,985.515,85.3315,-205.037,689.693,118.996,-196.931,562.894,147.268,-219.984,442.783,229.908,-210.493,78.9082,308.923,-145.121,73.679,59.2311,-230.555,42.4128,104.701,177.345,834.355,125.884,185.111,558.64,166.917,196.377,273.109,230.897,179.772,76.1146,282.361,93.7568,59.5815,70.8917,249.963,39.2356
712,0,47.9192,-137.159,987.785,50.1281,104.563,977.723,275.897,-101.165,999.97,245.749,119.344,985.317,85.3388,-203.478,689.938,118.676,-195.534,562.922,147.029,-218.848,443.056,229.877,-210.428,78.8912,308.91,-145.123,73.7564,59.2552,-230.568,42.4802,104.647,179.361,833.913,125.791,186.634,558.454,166.305,196.953,272.702,230.877,179.767,75.9676,282.343,93.7559,59.5473,70.7886,250.228,39.7108
713,0,47.7026,-134.63,987.92,49.6842,107.062,977.786,275.48,-98.5158,999.77,245.304,121.826,985.084,85.3081,-201.82,690.223,118.28,-194.111,563.109,146.571,-217.628,443.272,229.829,-210.438,78.9012,308.926,-145.069,73.7769,59.2872,-230.567,42.5113,103.658,181.905,834.012,125.477,188.071,558.136,165.537,197.492,272.251,230.704,179.815,75.6589,282.133,93.6372,59.039,70.8444,250.001,38.9708
714,0,47.5219,-132.11,987.909,49.3026,109.611,977.705,,,,244.794,124.264,984.729,85.2165,-200.264,690.294,117.577,-192.707,563.076,145.808,-216.407,443.345,229.866,-210.457,78.8171,308.902,-145.061,73.6682,59.2756,-230.601,42.4038,103.463,184.048,833.485,124.911,189.496,557.851,164.926,198.167,271.701,230.141,180.235,75.1844,282.239,93.8174,59.3434,70.7116,250.271,39.2938
715,0,47.5195,-129.487,987.887,49.0316,112.119,977.42,275.334,-93.6321,999.85,244.411,126.724,984.316,84.9126,-198.566,690.397,116.889,-191.154,563.187,144.979,-215.099,443.384,229.867,-210.407,78.8221,308.818,-144.99,73.6649,59.2859,-230.585,42.3806,103.38,186.155,833.031,124.291,190.934,557.427,164.59,198.84,271.269,230.005,180.226,75.1446,282.398,93.7324,59.564,70.681,250.117,38.5116
716,0,47.3451,-126.935,987.94,48.6736,114.718,977.439,275.084,-90.9488,999.64,244.071,129.095,983.912,84.5651,-196.844,690.633,115.94,-189.631,563.125,144.1,-213.898,443.637,229.811,-210.365,78.9265,308.8,-144.989,73.7739,59.2261,-230.575,42.4384,103.083,188.383,832.846,124.003,192.421,557.097,164.547,199.427,270.895,230.101,180.124,75.3509,282.232,93.8276,59.4362,70.5753,250.353,39.0376
717,0,47.2118,-124.44,988.015,48.4658,117.222,977.409,274.904,-88.4967,999.487,243.913,131.532,983.725,84.167,-195.083,690.885,114.787,-188.179,563.265,143.056,-212.714,443.821,229.831,-210.353,79.065,308.746,-144.9,74.0524,59.2799,-230.589,42.5097,102.857,190.579,832.659,124.041,193.896,556.815,164.482,199.897,270.605,230.175,180.083,75.5193,282.364,93.8454,59.6062,70.6348,250.146,38.4106
718,0,47.0467,-121.963,988.034,48.3777,119.636,977.06,274.77,-86.1313,999.351,243.612,133.877,983.389,83.4958,-193.359,691.211,113.537,-186.776,563.642,141.779,-211.589,444.02,229.73,-210.32,79.2487,308.707,-144.812,74.3495,59.2937,-230.572,42.6239,102.604,192.661,832.384,124.171,195.222,556.612,164.309,200.344,270.28,230.204,180.086,75.6456,282.107,93.9804,59.4644,70.6398,250.138,38.346
719,0,47.0326,-119.562,988.084,48.3087,122.056,976.821,,,,243.451,136.286,983.209,82.8605,-191.659,691.628,111.899,-185.417,563.817,140.253,-210.486,444.266,229.544,-210.354,79.3891,308.536,-144.769,74.6642,59.1996,-230.585,42.6601,102.401,194.784,832.167,124.268,196.675,556.179,164.245,200.873,270.027,230.443,179.915,75.748,282.03,93.95,59.4703,70.5355,250.405,38.8606
720,0,47.0595,-117.107,988.126,48.2645,124.432,976.586,274.286,-81.4287,999.078,243.353,138.704,983.079,82.0255,-189.975,692.067,110.111,-184.063,564.21,138.532,-209.398,444.584,229.333,-210.391,79.6385,308.375,-144.748,75.0217,59.122,-230.545,42.6653,102.169,196.873,831.953,124.208,197.906,555.989,164.331,201.486,269.595,230.443,179.962,75.6946,282.065,93.86,59.5143,70.4672,250.408,38.7733
721,0,47.0244,-114.745,988.214,48.2333,126.75,976.205,274.294,-79.0096,998.94,243.169,140.976,982.656,81.1577,-188.212,692.61,108.287,-182.779,564.588,136.657,-208.393,444.794,229.291,-210.286,79.7428,308.201,-144.737,75.4521,59.1314,-230.582,42.6288,101.921,198.889,831.672,124.369,199.287,555.669,164.405,202.084,269.207,230.387,179.967,75.5565,281.949,93.8914,59.279,70.3866,250.434,38.649
722,0,47.2178,-112.53,988.302,48.2279,128.995,975.978,274.625,-76.9668,999.103,243.094,143.281,982.197,80.2002,-186.621,693.115,106.227,-181.557,564.909,134.588,-207.474,445.181,229.197,-210.262,79.9051,308.033,-144.806,75.7509,59.0608,-230.555,42.5782,101.783,200.876,831.47,124.567,200.569,555.411,164.421,202.652,268.779,230.393,179.984,75.408,282.182,93.9229,59.4209,70.4136,250.199,37.9136
723,0,47.6309,-110.349,988.437,48.3463,131.128,975.527,274.787,-74.5714,999.149,243.102,145.505,981.815,79.2542,-184.987,693.756,103.931,-180.484,565.402,132.381,-206.631,445.438,229.074,-210.208,80.186,307.849,-144.794,76.3552,59.0924,-230.581,42.4699,101.749,202.858,831.27,124.91,202.141,555.061,164.351,203.351,268.392,230.468,180.007,75.3369,282.003,94.0421,59.1987,70.4643,250.222,37.6434
724,0,48.1261,-108.244,988.656,48.48,133.166,975.252,275.289,-72.4371,999.411,243.159,147.651,981.536,78.0658,-183.472,694.634,101.369,-179.273,566.011,129.949,-205.946,445.777,228.906,-210.149,80.6348,307.726,-144.759,77.3178,59.1342,-230.587,42.4426,101.724,204.785,831.065,124.935,203.486,554.882,164.321,204.052,268.065,230.523,180.053,75.261,282.092,94.2059,59.3063,70.4843,250.263,37.5234
725,0,48.7408,-106.371,988.768,48.472,135.02,974.816,275.455,-70.0074,999.261,243.109,149.728,981.219,76.6933,-181.749,695.758,98.237,-178.094,566.826,127.2,-205.428,446.131,228.534,-210.126,81.2313,307.395,-144.788,78.5273,59.146,-230.646,42.2939,101.743,206.619,830.851,124.781,204.925,554.519,164.186,204.808,267.77,230.59,180.164,75.1956,282.344,94.119,59.2653,70.4289,250.494,37.898
726,0,49.3709,-104.552,988.804,48.6357,136.756,974.389,276.124,-67.9081,999.592,243.168,151.926,981.004,74.8743,-180.016,697.008,94.5583,-177.039,568.055,124.131,-204.928,446.556,228.14,-210.056,81.8601,307.022,-144.695,80,59.1047,-230.628,42.2473,101.682,208.293,830.651,124.358,206.132,554.282,163.849,205.458,267.38,230.603,180.263,75.0899,282.146,94.3063,59.1162,70.4406,250.304,37.1947
727,0,50.2208,-102.853,988.772,48.8182,138.37,973.827,276.829,-65.9414,999.642,243.216,153.983,980.832,72.5286,-178.327,698.156,90.4714,-176.088,569.727,120.659,-204.745,447.014,227.569,-210.064,82.6712,306.6,-144.638,81.5818,58.9961,-230.691,42.0696,101.516,209.921,830.383,123.739,207.376,554.042,163.443,206.147,267.017,230.551,180.348,75.0167,282.281,94.2899,59.2436,70.3106,250.511,37.5847
728,0,51.1197,-101.32,988.724,49.033,139.746,973.274,277.065,-63.5194,999.235,243.257,155.86,980.67,69.9682,-176.702,699.392,86.1791,-175.385,571.598,116.974,-204.622,447.575,227.024,-209.998,83.8555,306.06,-144.565,83.6184,58.9873,-230.754,41.9524,101.351,211.436,830.264,123.265,208.59,553.533,163.093,206.748,266.662,230.609,180.426,74.9688,282.283,94.3535,59.2041,70.3389,250.339,36.8679
729,0,52.1219,-99.8179,988.495,49.3687,141.123,972.606,278.021,-61.6722,999.445,243.464,157.777,980.568,67.088,-175.185,700.675,81.0305,-175.244,573.604,112.893,-204.644,448.165,226.514,-209.999,85.2079,305.214,-144.709,85.9995,58.929,-230.813,41.8287,101.029,212.709,830.2,122.63,209.619,553.402,162.804,207.296,266.387,230.701,180.531,74.946,282.32,94.4456,59.1451,70.3114,250.346,36.8362
730,0,53.0816,-98.6175,988.2,49.6703,142.359,971.929,278.664,-59.7293,999.234,243.586,159.683,980.309,64.0128,-173.684,702.002,76.1793,-174.602,574.989,108.386,-204.685,448.708,225.656,-210.139,86.8487,304.505,-144.709,88.5533,58.7585,-230.898,41.5837,100.745,213.971,830.052,122.106,210.727,553.051,162.401,207.816,266.057,230.66,180.618,74.8961,282.276,94.462,59.2161,70.1891,250.573,37.2844
731,0,54.0505,-97.3191,987.937,50.0083,143.505,971.324,,,,243.699,161.409,980.006,60.8494,-172.25,703.166,71.255,-174.029,575.808,103.43,-204.65,449.25,224.903,-210.447,88.622,303.614,-144.799,91.2287,58.4974,-231.034,41.1664,100.487,215.078,829.897,121.428,211.711,552.786,161.94,208.319,265.7,230.566,180.655,74.757,282.263,94.4715,59.1987,70.1213,250.582,37.228
732,0,55.0032,-96.2043,987.636,50.5076,144.469,970.61,280.371,-55.9753,998.968,243.987,163.085,979.773,57.6263,-171.082,704.322,66.539,-173.458,576.435,98.2601,-204.434,449.798,223.913,-210.898,90.2085,302.591,-145.392,94.0167,58.1645,-231.193,40.8599,100.253,216.102,829.849,120.732,212.499,552.586,161.471,208.733,265.428,230.75,180.741,74.7331,282.292,94.5083,59.1913,70.0604,250.38,36.6171
733,0,55.8392,-95.0741,987.289,50.9083,145.549,970.1,280.938,-54.0509,998.204,244.431,164.742,979.509,54.5383,-170.164,705.505,61.9273,-172.901,577.235,92.8527,-204.255,450.302,222.707,-211.497,91.9339,301.186,-146.045,96.946,57.379,-231.544,40.845,99.8799,216.522,830,120.052,213.277,552.319,160.996,209.1,265.218,230.791,180.753,74.7169,282.298,94.5042,59.2023,70.1343,250.591,37.3157
734,0,56.5114,-93.9895,986.969,51.5487,146.555,969.347,281.563,-52.5674,997.853,244.812,166.06,979.153,51.4942,-169.454,706.617,57.658,-172.492,578.341,87.683,-203.992,451.086,221.105,-212.476,93.7046,299.351,-146.953,99.3837,55.7882,-232.064,41.2924,99.8407,217.442,829.937,119.231,214.038,551.989,160.613,209.476,264.945,230.782,180.783,74.6452,282.351,94.528,59.1812,70.16,250.606,37.2715
735,0,57.1289,-92.8272,986.505,52.161,147.602,968.65,281.968,-51.257,997.46,245.442,167.281,978.808,48.7426,-168.924,707.683,53.679,-172.173,579.673,83.0183,-203.991,452.023,218.658,-213.903,95.5928,296.783,-148.34,101.175,53.0704,-232.787,42.2232,100.519,218.735,829.36,118.54,214.69,551.757,160.284,209.854,264.669,230.83,180.816,74.6581,282.386,94.5638,59.2246,70.1758,250.579,37.2088
736,0,57.5534,-91.7211,986.224,52.9129,148.657,967.845,282.338,-50.3658,997.139,246.082,168.316,978.469,46.314,-168.384,708.742,50.1626,-171.987,580.895,79.15,-204.47,453.212,215.52,-215.742,97.7349,293.605,-150.151,102.521,49.09,-233.814,44.1025,100.674,219.277,829.572,118.025,215.597,551.487,159.953,210.222,264.403,230.829,180.879,74.703,282.38,94.6086,59.2415,70.1425,250.587,37.1555
737,0,57.8289,-90.6336,986.098,53.6586,149.514,967.14,282.212,-49.5314,996.681,246.882,169.065,978.28,44.2298,-167.893,709.899,47.2077,-172.103,582.145,76.116,-205.406,454.464,211.482,-218.069,99.4483,289.755,-152.501,102.876,44.3364,-235.463,46.6936,101.507,220.599,829.302,117.554,216.382,551.208,159.593,210.574,264.154,230.812,180.918,74.7242,282.306,94.6122,59.2356,70.1217,250.599,37.0817
738,0,58.0584,-89.5518,985.853,54.5481,150.483,966.541,282.286,-49.4054,996.405,247.724,169.495,978.031,42.5704,-167.478,710.98,44.8109,-172.488,583.083,73.5002,-206.643,455.618,206.756,-220.721,100.803,285.203,-155.464,102.46,38.8953,-237.892,49.679,102.291,221.482,829.187,117.063,217.077,551.088,159.162,210.886,264.055,230.737,180.924,74.6941,282.288,94.6513,59.2313,70.0707,250.639,37.0473
739,0,58.0514,-88.4969,985.759,55.4552,151.288,965.994,282.398,-49.4347,996.442,248.856,169.744,977.898,41.3735,-167.218,712.036,43.0093,-172.985,584.006,70.8775,-207.89,456.635,201.415,-223.674,101.449,280.223,-158.751,100.737,32.9711,-241.065,52.4841,103.145,222.321,829.041,116.555,217.696,550.982,158.757,211.112,263.89,230.738,180.88,74.6573,282.263,94.6445,59.1516,70.0645,250.623,37.0261
740,0,58.0697,-87.5216,985.664,56.5707,152.169,965.447,282.483,-49.7276,996.483,250.138,169.866,977.71,40.421,-167.139,713.002,41.4694,-173.631,585.017,68.1613,-209.164,457.68,195.759,-226.77,101.48,274.492,-162.358,98.6617,26.5155,-244.764,55.3436,104.183,223.032,828.794,116.189,218.175,550.724,158.347,211.255,263.766,230.695,180.846,74.6357,282.219,94.5991,59.1553,70.0461,250.61,37.0353
741,0,58.0445,-86.5476,985.711,57.4536,153.053,965.251,282.524,-50.1604,996.678,251.246,169.764,977.519,39.5956,-167.266,713.864,40.0488,-174.231,586.01,65.3729,-210.367,458.729,189.535,-230.222,101.106,268.104,-166.313,96.4608,19.5188,-248.769,58.2076,105.317,223.708,828.572,115.86,218.606,550.6,158.113,211.407,263.625,230.732,180.794,74.7367,282.218,94.5353,59.2514,70.1063,250.617,37.0323
742,0,57.8624,-85.6726,985.741,58.4306,153.968,964.854,282.453,-50.5602,996.919,252.395,169.591,977.276,38.8077,-167.488,714.826,38.56,-174.872,587.042,62.7112,-211.753,459.814,182.62,-234.133,100.515,261.278,-170.399,94.355,12.0426,-253.122,61.1736,105.612,224.001,829.236,115.639,218.927,550.427,157.911,211.564,263.547,230.813,180.77,74.8342,282.282,94.5471,59.3157,70.1304,250.629,37.1046
743,0,57.7166,-84.8077,985.641,59.4315,154.706,964.413,282.599,-51.0586,997.523,253.495,169.297,976.886,38.1206,-167.73,715.638,37.3047,-175.462,587.957,60.1824,-213.281,460.798,174.874,-238.533,99.8217,253.96,-174.664,92.357,3.97885,-257.527,64.2016,107.494,224.689,828.095,115.443,219.273,550.25,157.759,211.735,263.427,230.682,180.727,74.8389,282.302,94.5067,59.3909,70.1664,250.628,37.0726
744,0,57.5425,-84.1101,985.518,60.4705,155.399,963.904,282.124,-51.2276,997.183,254.476,168.963,976.334,37.3221,-167.797,716.334,36.0533,-176.305,588.7,57.8101,-214.983,461.768,166.151,-243.674,99.0922,246.112,-179.162,89.7625,-4.47038,-261.885,67.2117,107.42,224.823,828.934,115.087,219.526,550.091,157.513,211.899,263.176,230.695,180.776,74.6919,282.376,94.5392,59.3517,70.1776,250.593,36.9202
745,0,57.3191,-83.5877,985.405,61.3522,155.915,963.507,282.362,-51.6893,997.545,255.522,168.551,975.884,36.3252,-167.854,717.045,34.905,-177.212,589.527,55.4248,-216.838,462.651,157.545,-248.516,98.638,237.997,-183.774,87.326,-13.231,-266.22,70.3139,108.138,225.004,828.85,114.854,219.617,549.867,157.221,211.958,262.97,230.692,180.774,74.6073,282.383,94.5368,59.3499,70.1976,250.623,36.8643
746,0,57.0741,-83.1919,985.276,62.3321,156.22,963.017,282.307,-52.1996,997.656,256.458,167.919,975.452,35.1058,-167.913,717.879,33.587,-178.258,590.359,52.8629,-218.812,463.748,148.931,-253.26,98.4547,229.636,-188.938,85.0334,-22.2842,-270.372,73.3873,108.801,225.008,828.872,114.435,219.593,549.844,156.935,211.907,262.864,230.676,180.762,74.6263,282.339,94.5368,59.3026,70.1662,250.588,36.8552
747,0,56.7729,-82.8628,985.214,63.3071,156.473,962.627,281.959,-52.7166,997.405,257.464,167.264,975.269,33.7902,-168.062,718.796,32.2225,-179.41,591.336,50.2719,-220.851,464.883,139.97,-258.181,98.3107,221.18,-194.422,83.0781,-31.5125,-274.473,76.3535,109.487,224.863,828.916,114.002,219.497,549.869,156.67,211.869,262.91,230.597,180.671,74.7373,282.244,94.5271,59.2618,70.1507,250.58,36.92
748,0,56.4983,-82.6745,985.131,64.2683,156.516,962.292,281.826,-53.5703,997.358,258.524,166.475,975.151,32.4326,-168.354,719.695,30.8286,-180.623,592.224,47.6625,-223.099,465.955,131.22,-262.923,98.4896,212.544,-199.98,81.6225,-40.6474,-278.432,78.879,111.61,224.579,827.413,113.711,219.473,549.849,156.466,211.794,262.949,230.596,180.625,74.8582,282.165,94.4989,59.3038,70.1238,250.592,37.0366
749,0,56.1313,-82.5253,984.935,65.2017,156.508,962.053,,,,259.588,165.474,974.998,31.0665,-168.741,720.492,29.418,-181.927,593.178,45.0781,-225.288,467.104,122.506,-267.652,98.493,203.86,-205.745,80.1809,-49.8453,-282.389,80.8405,112.45,224.151,827.305,113.371,219.491,549.861,156.245,211.752,262.99,230.633,180.589,74.9498,282.166,94.4638,59.3409,70.1439,250.597,37.1081
750,0,55.7116,-82.4869,984.663,66.298,156.359,961.439,,,,260.595,164.326,974.785,29.697,-169.29,721.265,27.8677,-183.345,593.892,42.3252,-227.599,468.091,113.703,-272.344,98.3764,195.266,-211.371,79.1428,-58.8272,-286.227,82.3885,111.744,223.651,828.689,112.878,219.425,549.746,155.943,211.75,262.94,230.55,180.555,74.8846,282.182,94.419,59.3974,70.1427,250.605,37.0686
751,0,55.2405,-82.4819,984.321,67.4163,156.231,960.853,,,,261.801,163.084,974.646,28.401,-170.03,721.986,26.2684,-184.759,594.62,39.4015,-229.862,469.036,104.921,-276.871,98.3883,186.896,-216.682,78.6516,-67.8107,-290,83.37,113.828,222.943,826.794,112.207,219.463,549.609,155.494,211.734,262.91,230.436,180.545,74.8398,282.182,94.3647,59.4916,70.1161,250.622,37.0354
752,0,54.789,-82.5631,983.991,68.5655,155.968,960.128,280.665,-59.1749,996.704,262.78,161.518,974.397,27.076,-170.984,722.527,24.5593,-186.284,595.375,36.3605,-232.092,469.974,96.0851,-281.076,98.3945,178.336,-221.654,78.2239,-76.5617,-293.53,84.2866,113.064,222.441,828.525,111.506,219.507,549.493,154.984,211.716,262.791,230.214,180.428,74.9153,282.116,94.3035,59.604,70.0757,250.634,37.022
753,0,54.1508,-82.7928,983.624,69.6479,155.619,959.519,280.121,-60.9698,996.536,263.991,159.792,974.242,25.7717,-172.117,723.056,22.8105,-187.991,596.011,33.2122,-234.33,470.846,87.3018,-285.286,98.5382,170.08,-226.185,77.7613,-85.3042,-296.785,85.3817,114.008,221.718,828.479,110.992,219.473,549.407,154.579,211.716,262.741,230.203,180.399,75.1157,281.948,94.2298,59.7051,70.045,250.349,36.2722
754,0,53.633,-83.0948,983.099,70.7392,155.117,958.829,279.871,-62.8824,996.664,265.271,158.052,973.943,24.5006,-173.481,723.355,21.0842,-189.788,596.466,29.899,-236.552,471.631,78.8586,-289.049,98.7581,161.962,-230.208,77.392,-93.8516,-299.704,86.8511,114.962,221.024,828.576,110.646,219.532,549.457,154.363,211.726,262.727,230.233,180.4,75.3064,281.823,94.1916,59.7476,70.0694,250.641,37.1906
755,0,53.1302,-83.5338,982.382,71.8771,154.459,957.969,,,,266.445,156.088,973.425,23.2606,-174.935,723.589,19.3336,-191.64,596.556,26.7992,-238.667,472.396,70.5201,-292.77,98.6324,153.956,-234.156,76.146,-102.113,-302.236,88.9026,116.125,220.256,828.487,110.599,219.513,549.277,154.246,211.725,262.641,230.323,180.337,75.328,282.115,94.534,60.6263,70.1154,250.628,37.2009
756,0,52.6537,-84.1994,981.42,72.8915,153.706,957.1,279.174,-66.9619,996.016,267.525,153.918,972.694,22.0436,-176.561,723.505,17.6399,-193.518,596.529,23.7158,-240.751,472.741,62.6662,-295.975,98.3919,146.125,-237.88,74.5696,-110.136,-304.449,91.0257,119.247,219.226,825.99,110.557,219.505,549.059,154.077,211.747,262.388,230.377,180.33,75.1072,281.873,94.5528,59.9737,70.1852,250.619,37.1048
757,0,51.9796,-85.0696,980.349,73.8624,152.731,956.085,278.64,-69.1943,995.11,268.543,151.673,971.947,20.8017,-178.27,723.205,15.7574,-195.343,596.067,20.5499,-242.796,472.7,55.047,-298.894,97.8642,138.507,-241.384,72.7175,-117.886,-306.322,93.3649,118.797,218.739,827.87,110.401,219.501,548.702,153.865,211.704,262.143,230.327,180.277,74.8434,281.567,94.5674,59.3692,70.2131,250.627,36.9461
758,0,51.3532,-86.0897,979.298,74.9659,151.519,955.038,,,,269.581,149.278,971.296,19.4674,-180.146,722.833,13.8579,-197.113,595.701,17.4359,-244.855,472.576,47.7188,-301.462,97.4884,131.078,-244.654,71.2299,-125.347,-308.021,95.6129,122.248,217.4,825.095,109.987,219.459,548.552,153.624,211.673,261.999,230.296,180.237,74.8308,281.211,94.5836,58.8127,70.2392,250.623,36.8659
759,0,50.73,-87.2741,978.166,76.0475,150.132,954.062,277.635,-74.2577,993.905,270.689,146.533,970.719,18.1994,-182.163,722.515,12.1774,-198.976,595.323,14.3915,-246.885,472.367,40.5961,-303.801,97.2906,124.032,-247.672,69.999,-132.497,-309.509,97.6595,123.848,216.332,824.77,109.521,219.461,548.477,153.413,211.637,261.952,230.394,180.199,74.9652,282.026,94.0589,59.5767,70.3036,250.629,36.9238
760,0,49.9756,-88.592,977.064,77.2526,148.585,953.008,277.046,-77.1014,993.159,271.944,143.753,970.228,16.9811,-184.424,721.997,10.5479,-200.988,594.717,11.5091,-248.714,472.179,33.8498,-305.885,96.7626,117.256,-250.059,68.5944,-139.164,-310.818,99.3127,123.399,215.699,826.855,108.88,219.484,548.351,153.094,211.675,261.898,230.429,180.17,75.1096,281.992,94.0074,59.7152,70.319,250.632,36.9931
761,0,49.2814,-90.0318,975.892,78.5264,146.987,951.804,276.404,-80.3194,992.204,273.054,140.759,969.377,15.8857,-186.817,721.317,9.15527,-203.022,594.07,8.81471,-250.562,471.833,27.7696,-307.376,96.1974,110.833,-251.939,67.0537,-145.36,-311.868,100.444,126.979,213.808,823.855,108.06,219.464,548.268,152.547,211.704,261.851,230.402,180.138,75.2653,281.875,93.9408,59.8677,70.3036,250.617,37.0851
762,0,48.5931,-91.459,974.623,79.7746,145.323,950.544,275.488,-83.4536,991.099,273.972,137.801,968.004,14.8607,-189.359,720.344,7.71614,-205.053,593.266,6.15355,-252.324,471.17,21.7846,-308.809,95.4474,104.723,-253.465,65.0776,-151.159,-312.658,101.314,128.34,212.256,823.281,107.272,219.533,548.01,151.747,211.72,261.647,230.299,180.099,75.3518,281.797,93.9084,59.9633,70.2923,250.643,37.1382
