Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13,0,46.1346,-150.718,993.41,27.3694,91.0111,978.966,270.44,-94.9586,1001.43,224.175,123.576,986.514,88.1847,-212.178,692.578,121.464,-200.205,565.582,149.088,-221.329,446.328,228.49,-210.998,80.2258,308.156,-144.794,75.7309,59.2299,-230.711,42.4055,82.8729,166.237,829.18,133.947,170.704,554.189,178.673,189.903,272.625,250.214,188.501,76.7407,320.934,114.455,62.9082,78.3253,222.125,37.9973
14,0,46.1357,-150.761,993.478,27.3494,90.9609,979.064,,,,224.219,123.494,986.563,88.2361,-212.215,692.628,121.513,-200.258,565.68,149.152,-221.35,446.377,228.789,-210.773,80.1577,308.199,-144.775,75.7997,59.2855,-230.714,42.4532,82.9719,166.15,829.231,131.984,170.06,556.59,178.757,189.888,272.649,250.244,188.497,76.783,320.948,114.467,62.9844,78.3713,222.113,37.98
15,0,46.0341,-150.808,993.574,27.3505,90.9188,979.037,,,,224.117,123.423,986.608,88.195,-212.245,692.646,121.469,-200.336,565.741,149.126,-221.367,446.395,229.133,-210.414,80.0077,308.158,-144.776,75.7176,59.262,-230.669,42.471,83.0248,166.123,829.17,137.063,166.704,549.315,178.833,189.881,272.541,250.407,188.585,76.6624,320.949,114.473,63.0531,78.3337,222.126,38.0153
16,0,45.9019,-150.835,993.627,27.3122,90.8788,979.071,270.193,-95.1267,1001.65,224.023,123.393,986.608,88.11,-212.259,692.676,121.481,-200.382,565.848,149.087,-221.36,446.439,229.247,-210.244,80.1088,308.121,-144.713,75.7956,59.2171,-230.625,42.4764,83.0633,166.064,829.068,131.895,170.136,556.672,178.829,189.852,272.456,250.441,188.664,76.6366,320.92,114.464,63.251,78.321,222.142,37.9536
17,0,45.8145,-150.92,993.596,27.3478,90.7935,979.005,,,,224.005,123.313,986.598,88.0733,-212.312,692.662,121.454,-200.437,565.835,149.065,-221.383,446.438,229.301,-210.254,80.0891,308.086,-144.751,75.7375,59.1734,-230.625,42.5006,83.0675,166.036,829.074,135.824,168.342,551.345,178.789,189.854,272.44,250.472,188.688,76.614,320.883,114.471,63.2048,78.2572,222.179,37.9584
18,0,45.8764,-150.998,993.482,27.3274,90.7319,979.007,270.201,-95.305,1001.59,224.095,123.237,986.576,88.09,-212.379,692.536,121.456,-200.449,565.663,149.097,-221.422,446.353,229.324,-210.174,79.9282,308.145,-144.752,75.6561,59.1869,-230.625,42.4172,83.123,165.961,829.047,,,,178.822,189.83,272.404,250.431,188.636,76.5644,320.883,114.486,63.1149,78.3032,222.157,37.8752
19,0,45.9172,-151.023,993.381,27.372,90.663,978.968,270.303,-95.4992,1001.51,224.235,123.166,986.547,88.1257,-212.401,692.485,121.531,-200.439,565.592,149.144,-221.442,446.275,229.333,-210.169,79.7794,308.208,-144.741,75.6499,59.2437,-230.652,42.3703,83.1512,165.909,829.082,134.013,170.218,554.164,178.836,189.817,272.482,250.404,188.589,76.541,320.889,114.498,62.933,78.3259,222.159,37.9203
20,0,45.9707,-151.12,993.285,27.3573,90.6298,979.052,270.291,-95.5257,1001.43,224.341,123.07,986.57,88.1356,-212.432,692.438,121.489,-200.443,565.409,149.173,-221.492,446.231,229.371,-210.131,79.7765,308.244,-144.764,75.6466,59.2612,-230.706,42.2928,83.218,165.871,829.13,136.91,166.838,549.707,178.87,189.797,272.518,250.359,188.546,76.5834,320.932,114.511,62.7641,78.3811,222.149,37.8042
21,0,45.9696,-151.192,993.266,27.4516,90.5561,979.022,270.357,-95.7192,1001.5,224.394,122.98,986.643,88.1381,-212.467,692.458,121.446,-200.474,565.418,149.151,-221.497,446.263,229.373,-210.179,79.7547,308.254,-144.782,75.6339,59.2771,-230.707,42.3738,83.2563,165.829,829.245,134.32,170.532,554.109,178.907,189.799,272.599,250.334,188.506,76.6284,320.95,114.524,62.8325,78.3601,222.132,37.8442
22,0,45.9209,-151.251,993.263,27.464,90.5128,979.02,,,,224.32,122.902,986.61,88.0742,-212.501,692.433,121.439,-200.538,565.563,149.098,-221.548,446.257,229.374,-210.223,79.8389,308.159,-144.751,75.694,59.2252,-230.706,42.3838,83.2566,165.799,829.257,136.777,166.979,550.093,178.859,189.793,272.641,250.271,188.517,76.6618,320.945,114.469,63.0251,78.3446,222.146,37.8879
23,0,45.8366,-151.277,993.228,27.4597,90.4746,978.954,270.133,-95.8946,1001.56,224.232,122.858,986.578,88.0613,-212.462,692.467,121.374,-200.61,565.689,148.967,-221.566,446.265,229.342,-210.188,80.0333,308.061,-144.748,75.6523,59.1846,-230.665,42.4001,83.2451,165.75,829.153,136.394,167.378,550.549,178.79,189.773,272.598,250.189,188.538,76.6336,320.865,114.404,63.1069,78.2886,222.135,37.8984
24,0,45.8056,-151.325,993.304,27.512,90.4154,978.98,270.264,-96.0882,1001.72,224.256,122.727,986.652,87.9657,-212.528,692.564,121.256,-200.67,565.697,148.946,-221.626,446.339,229.321,-210.116,80.0154,308.121,-144.762,75.7788,59.1695,-230.627,42.5178,82.6011,166.009,829.486,136.872,166.992,549.963,178.774,189.748,272.656,250.222,188.553,76.7198,320.819,114.428,63.1999,78.2439,222.143,38.0465
25,0,45.766,-151.382,993.368,27.5511,90.3852,979.086,270.054,-96.0742,1001.6,224.358,122.618,986.735,87.9609,-212.593,692.598,121.236,-200.702,565.821,148.938,-221.667,446.429,229.337,-210.179,80.0649,308.117,-144.759,75.8149,59.1843,-230.65,42.5999,83.39,165.63,829.275,133.451,169.707,555.103,178.781,189.739,272.792,250.278,188.597,76.8583,320.809,114.451,63.2889,78.2306,222.141,38.1607
26,0,45.6985,-151.446,993.323,27.6502,90.3033,978.978,269.982,-96.1857,1001.56,224.397,122.501,986.675,87.927,-212.639,692.603,121.231,-200.757,565.724,148.913,-221.692,446.353,229.294,-210.178,79.999,308.069,-144.747,75.8204,59.1864,-230.649,42.5862,82.7855,165.883,829.532,132.219,169.577,556.637,178.82,189.735,272.757,250.304,188.605,76.8333,320.739,114.382,63.2662,78.2475,222.141,38.0925
27,0,45.6676,-151.516,993.259,27.6703,90.2658,978.987,270.094,-96.4853,1001.58,224.435,122.396,986.633,87.9276,-212.726,692.5,121.213,-200.799,565.662,148.885,-221.727,446.302,229.312,-210.167,79.9873,308.093,-144.8,75.7374,59.1932,-230.641,42.525,83.529,165.521,829.225,132.314,169.55,556.534,178.843,189.688,272.705,250.264,188.569,76.763,320.825,114.442,63.2058,78.2159,222.154,38.0728
28,0,45.6401,-151.592,993.175,27.6695,90.197,979.018,270.124,-96.5503,1001.48,224.545,122.231,986.549,87.9354,-212.791,692.413,121.261,-200.814,565.495,148.881,-221.787,446.159,229.352,-210.218,79.8899,308.139,-144.796,75.6595,59.2333,-230.668,42.4147,82.906,165.738,829.416,132.367,169.542,556.458,178.906,189.673,272.605,250.28,188.528,76.6216,320.855,114.438,63.038,78.2443,222.165,37.9812
29,0,45.6451,-151.649,993.089,27.6632,90.1854,979.094,270.091,-96.5994,1001.3,224.627,122.091,986.476,87.9358,-212.846,692.302,121.299,-200.842,565.402,148.884,-221.843,446.031,229.439,-210.164,79.7612,308.21,-144.794,75.5603,59.2515,-230.67,42.2778,82.9749,165.666,829.373,132.552,169.452,556.294,179.03,189.632,272.432,250.359,188.488,76.4847,320.907,114.437,62.8427,78.3653,222.136,37.7461
