Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,10.9806,,-16.8327,-19.2394,-38.4574,10.771,,-16.1174,-13.6505,29.7395,-8.57276,17.8924,13.7131,2.19471,-4.71529,-1.15668,153.122,83.5029,-156.25,-13.1474,905.775,-64.5985
2,0,10.9599,,-16.826,-19.2662,-38.4658,10.7716,,-16.0972,-13.6544,29.7735,-8.5718,17.9086,13.6776,2.18021,-4.70489,-1.18331,153.174,83.4922,-156.297,-13.51,905.889,-64.9478
3,0,10.9124,,-16.8262,-19.2844,-38.4724,10.7559,,-16.0843,-13.6601,29.7975,-8.57815,17.926,13.6514,2.15363,-4.6935,-1.20326,152.997,83.4746,-156.128,-13.7778,905.989,-65.3633
4,0,10.8811,,-16.8045,-19.3031,-38.4825,10.7419,,-16.063,-13.659,29.83,-8.59321,17.9394,13.6121,2.12294,-4.68362,-1.23366,152.846,83.4511,-155.968,-14.0799,906.107,-65.6979
5,0,10.8567,,-16.785,-19.3174,-38.4938,10.7245,,-16.0478,-13.6652,29.8578,-8.61253,17.9548,13.5819,2.09497,-4.67534,-1.25739,152.718,83.4459,-155.836,-14.4397,906.057,-65.9783
6,0,10.8383,,-16.7712,-19.3397,-38.5016,10.7091,,-16.0329,-13.6773,29.8888,-8.62957,17.9741,13.5442,2.06742,-4.6712,-1.28793,152.571,83.4457,-155.673,-14.8152,905.904,-66.1925
7,0,10.8179,,-16.7519,-19.3353,-38.5164,10.6911,,-16.0104,-13.678,29.9245,-8.6436,18.005,13.4918,2.02899,-4.66681,-1.3338,152.263,83.4511,-155.344,-15.0869,905.885,-66.5752
8,0,10.7915,,-16.745,-19.3244,-38.5286,10.6604,,-15.9968,-13.6741,29.9434,-8.66006,18.0388,13.4601,1.98613,-4.65476,-1.36347,151.889,83.4788,-154.97,-15.4778,905.973,-66.9753
9,0,10.7782,,-16.7336,-19.3066,-38.5439,10.6317,,-15.9773,-13.6626,29.9664,-8.68557,18.0695,13.4284,1.94012,-4.64083,-1.39971,151.492,83.5188,-154.566,-15.8768,906.134,-67.3035
10,0,10.4666,,-16.7329,-20.1339,-38.4718,10.6288,,-16.157,-14.104,29.967,-9.17389,17.4474,13.3407,2.05271,-4.79401,-1.30535,152.776,81.5712,-155.894,-9.7898,906.166,-67.5099
11,0,10.225,,-16.5662,-20.7986,-38.2654,10.3949,,-16.4364,-14.5967,29.8395,-9.67882,17.047,13.1854,1.90079,-4.96467,-1.29431,151.796,80.4438,-154.725,-7.2853,905.75,-65.6646
12,0,10.2201,,-16.4673,-21.1269,-38.131,10.1862,,-16.6719,-15.0119,29.7332,-10.0458,16.857,13.0258,1.74333,-5.11639,-1.34882,151.141,79.971,-153.876,-7.2793,905.192,-64.5928
13,0,10.5693,,-16.6066,-20.7478,-38.3454,10.1948,,-16.7021,-15.1212,29.7564,-9.85794,16.9701,12.7434,1.67781,-5.19966,-1.65601,151.314,80.7019,-153.871,-10.734,904.895,-66.9167
14,0,10.6846,,-16.7047,-20.5667,-38.4858,10.1661,,-16.7731,-15.1916,29.6897,-9.80477,17.0031,12.6224,1.67393,-5.22078,-1.76909,151.279,80.8277,-153.731,-11.2003,904.731,-67.2002
15,0,10.7338,,-16.7695,-20.4668,-38.5923,10.1226,,-16.844,-15.2241,29.5988,-9.76935,17.0309,12.538,1.66982,-5.21667,-1.85045,151.103,80.9182,-153.479,-11.4793,904.61,-67.3773
16,0,10.7427,,-16.8055,-20.3718,-38.6854,10.0664,,-16.908,-15.2238,29.4975,-9.73549,17.0832,12.4669,1.65362,-5.19597,-1.92334,150.697,81.0273,-153.021,-11.6734,904.487,-67.664
17,0,10.747,,-16.8167,-20.2903,-38.7709,10.0199,,-16.9426,-15.1904,29.4212,-9.70754,17.1434,12.3703,1.62647,-5.17114,-2.02313,150.274,81.1229,-152.516,-11.864,904.247,-67.8754
18,0,10.7327,,-16.8324,-20.2176,-38.8423,9.96675,,-16.9754,-15.1488,29.3424,-9.67858,17.2257,12.2887,1.59466,-5.14121,-2.11387,149.731,81.2293,-151.91,-12.0374,903.979,-68.1416
19,0,10.52,,-16.6698,-20.7155,-38.6233,9.76263,,-17.171,-15.3415,29.1594,-10.1474,17.0606,12.3361,1.52261,-5.15687,-1.98985,149.21,80.3076,-151.342,-9.8255,903.777,-65.7966
20,0,10.6571,,-16.7647,-20.3129,-38.8013,9.73945,,-17.1247,-15.2345,29.1611,-9.88569,17.2772,12.0925,1.41018,-5.14387,-2.27494,148.086,81.1246,-150.096,-12.4432,903.763,-68.129
21,0,10.7071,,-16.829,-20.1938,-38.8803,9.71945,,-17.1268,-15.1588,29.1076,-9.84371,17.3935,12.0329,1.40414,-5.10269,-2.36064,147.788,81.2803,-149.755,-12.7923,903.733,-68.5385
22,0,10.6777,,-16.8538,-20.1281,-38.9485,9.68048,,-17.1434,-15.0975,29.0408,-9.80522,17.461,11.9923,1.39538,-5.05933,-2.40828,147.422,81.3501,-149.362,-12.8571,903.726,-68.6538
23,0,10.6552,,-16.8794,-20.0803,-39.014,9.65315,,-17.1475,-15.0387,28.9954,-9.77028,17.5168,11.9329,1.38424,-5.02375,-2.47399,147.081,81.4158,-148.981,-12.8718,903.664,-68.8744
24,0,10.6519,,-16.9019,-20.0527,-39.0716,9.62822,,-17.1617,-14.998,28.946,-9.75382,17.5627,11.9046,1.38903,-4.99008,-2.51154,146.888,81.4611,-148.769,-12.8771,903.537,-69.0316
25,0,10.6638,,-16.9199,-20.0413,-39.1251,9.60956,,-17.1787,-14.9718,28.9019,-9.7421,17.605,11.8881,1.4022,-4.96172,-2.54163,146.753,81.5027,-148.62,-12.8755,903.436,-69.1881
26,0,10.6586,,-16.9484,-20.0086,-39.1827,9.59044,,-17.1893,-14.9408,28.8645,-9.71041,17.6593,11.8579,1.407,-4.93401,-2.58082,146.483,81.5636,-148.329,-12.7913,903.374,-69.3844
