Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13,0,185.022,-117.272,995.688,161.403,123.582,980.671,401.536,-49.1597,995.83,354.333,164.002,1000.84,217.887,-171.748,696.909,241.602,-157.978,576.399,267.8,-181.052,446.777,340.141,-164.581,81.4563,413.124,-92.5539,74.3282,170.617,-197.025,45.5625,206.475,207.599,833.57,236.671,214.902,561.322,271.475,240.122,276.09,334.083,238.909,77.7414,396.32,165.069,82.9414,161.019,274.803,45.7314
14,0,185.157,-117.164,995.659,161.523,123.685,980.757,401.78,-49.0708,995.952,354.441,164.018,1000.83,218.007,-171.598,696.947,241.73,-157.874,576.368,267.875,-180.987,446.762,340.166,-164.534,81.4519,413.153,-92.5162,74.3573,170.691,-197.039,45.5324,,,,236.79,214.998,561.272,271.6,240.118,276.022,334.156,238.879,77.7022,396.647,165.21,82.9244,161.087,274.801,45.6364
15,0,185.23,-117.07,995.668,161.673,123.763,980.774,401.89,-48.944,995.923,,,,218.098,-171.52,696.864,241.846,-157.795,576.337,267.962,-180.936,446.767,340.251,-164.567,81.4675,413.25,-92.5558,74.3399,170.755,-197.071,45.4928,209.047,207.038,832.254,236.991,215.041,561.162,271.722,240.114,275.966,334.265,238.883,77.6637,398.808,165.266,84.2712,161.139,274.78,45.6375
16,0,185.25,-116.968,995.682,161.739,123.886,980.843,401.837,-48.8825,995.746,354.647,164.154,1000.94,218.154,-171.404,696.879,241.908,-157.686,576.328,268.002,-180.889,446.749,340.258,-164.52,81.3765,413.217,-92.5031,74.3845,170.781,-197.031,45.5561,209.127,207.176,832.295,237.043,215.116,561.096,271.764,240.135,275.898,334.328,238.9,77.6158,397.402,165.453,82.851,161.159,274.792,45.5944
17,0,185.286,-116.865,995.674,161.866,124.005,980.853,405.954,-49.8677,1001.02,354.821,164.415,1001.24,218.213,-171.315,696.897,241.932,-157.633,576.382,268.043,-180.818,446.791,340.238,-164.517,81.3687,413.306,-92.587,74.3334,170.764,-197.027,45.5892,209.203,207.281,832.376,237.138,215.169,561.098,271.838,240.179,275.873,334.364,238.906,77.6351,397.447,165.495,82.8245,161.165,274.788,45.6501
18,0,185.283,-116.747,995.635,161.97,124.119,980.852,406.06,-49.8683,1001.24,354.875,164.545,1001.33,218.244,-171.205,696.905,241.886,-157.599,576.408,268.009,-180.757,446.821,340.133,-164.498,81.4047,413.207,-92.5174,74.3982,170.741,-197.04,45.6228,209.269,207.366,832.408,237.116,215.278,561.232,271.801,240.227,275.942,334.28,238.918,77.7035,397.328,165.483,82.8785,161.083,274.778,45.7073
19,0,185.335,-116.663,995.5,162.047,124.243,980.816,401.492,-48.687,995.593,354.886,164.656,1001.39,218.243,-171.12,696.885,241.768,-157.477,576.277,267.956,-180.685,446.832,340.026,-164.536,81.3364,413.097,-92.5214,74.3942,170.623,-197.036,45.6163,209.285,207.436,832.422,237.053,215.354,561.347,271.697,240.276,276.058,334.146,238.938,77.7733,397.077,165.347,82.9822,160.972,274.824,45.7046
20,0,185.358,-116.544,995.375,162.191,124.331,980.714,401.422,-48.634,995.655,354.919,164.731,1001.43,218.292,-171.049,696.908,241.845,-157.487,576.427,267.945,-180.643,446.843,339.971,-164.553,81.3978,413.079,-92.5515,74.347,170.566,-197.021,45.6687,209.43,207.506,832.362,236.932,215.467,561.555,271.611,240.344,276.176,333.969,238.909,77.827,396.494,165.076,83.188,160.981,274.806,45.7074
21,0,185.43,-116.433,995.27,162.275,124.464,980.777,406.613,-49.9934,1001.96,354.981,164.786,1001.48,218.356,-170.956,696.944,241.885,-157.368,576.441,267.975,-180.595,446.853,340.026,-164.572,81.5303,413.043,-92.4974,74.3793,170.579,-197.028,45.6901,209.571,207.592,832.304,237.009,215.552,561.57,271.59,240.395,276.231,333.91,238.904,77.8242,396.328,164.974,83.3677,160.971,274.842,45.6719
22,0,185.484,-116.323,995.273,162.361,124.595,980.801,401.693,-48.5709,995.901,355.127,164.807,1001.52,218.489,-170.92,696.994,241.937,-157.323,576.468,268.048,-180.568,446.917,340.121,-164.607,81.6088,413.108,-92.5244,74.4404,170.617,-197.043,45.6743,209.723,207.72,832.358,237.18,215.581,561.59,271.693,240.441,276.248,333.962,238.911,77.8354,396.319,165.011,83.3391,161.06,274.835,45.6735
