Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
25,0,8.94056,,-16.582,-27.2913,-42.7606,10.5876,,-19.7742,-11.9154,19.4818,-4.20608,17.7146,5.3264,3.7298,-9.71053,-4.90202,-182.17,77.0174,-176.934,-4.71908,902.031,-65.2943
26,0,9.01244,,-16.644,-27.3116,-42.8181,10.6386,,-19.8078,-11.9281,19.3679,-4.12933,17.6791,5.36834,3.84977,-9.76114,-4.86799,-181.638,76.9712,-177.474,-4.4766,901.901,-65.2288
27,0,9.07186,,-16.6949,-27.3249,-42.8747,10.6848,,-19.834,-11.9276,19.2514,-4.04822,17.6445,5.39721,3.95873,-9.80648,-4.84856,-181.171,76.9262,-177.944,-4.22747,901.881,-65.2297
28,0,9.11241,,-16.7371,-27.3435,-42.9261,10.7252,,-19.8609,-11.9296,19.1415,-3.97214,17.6067,5.43242,4.06324,-9.85131,-4.82141,-180.734,76.8797,-178.394,-3.96288,901.865,-65.2312
29,0,9.14369,,-16.7765,-27.3532,-42.9789,10.7692,,-19.8717,-11.9256,19.0562,-3.88554,17.5708,5.44674,4.15728,-9.90153,-4.81099,-180.316,76.8361,-178.807,-3.67648,901.854,-65.2271
30,0,9.17597,,-16.8018,-27.3605,-43.0303,10.8028,,-19.9004,-11.927,18.9319,-3.80697,17.5335,5.45276,4.24643,-9.94917,-4.80899,-179.922,76.7939,-179.189,-3.39108,901.798,-65.2167
31,0,9.19699,,-16.8358,-27.3646,-43.0833,10.8314,,-19.9325,-11.931,18.8069,-3.72699,17.4948,5.46245,4.33131,-9.99443,-4.80107,-179.561,76.762,-179.547,-3.08178,901.819,-65.2442
32,0,9.21935,,-16.8507,-27.3695,-43.1297,10.8654,,-19.9453,-11.9254,18.7176,-3.65407,17.461,5.48822,4.41544,-10.0406,-4.7811,-179.205,76.7252,-179.909,-2.74816,901.879,-65.257
33,0,9.22609,,-16.8756,-27.37,-43.176,10.8975,,-19.9676,-11.935,18.6384,-3.57995,17.4284,5.50019,4.492,-10.0792,-4.77125,-178.908,76.6869,-180.209,-2.41675,901.91,-65.3251
34,0,9.2307,,-16.9003,-27.379,-43.2197,10.9312,,-19.9838,-11.9401,18.5703,-3.50901,17.3926,5.51297,4.57041,-10.1157,-4.75495,-178.589,76.6452,-180.533,-2.23756,901.941,-65.3402
35,0,9.20778,,-16.9366,-27.319,-43.2729,10.9321,,-19.9921,-11.9005,18.4504,-3.41972,17.3851,5.49692,4.61087,-10.1406,-4.7674,-178.475,76.6971,-180.644,-1.84291,901.963,-65.5407
36,0,9.23787,,-16.9389,-27.3607,-43.3032,10.9756,,-20.0154,-11.9206,18.3877,-3.35953,17.3504,5.52235,4.7084,-10.1823,-4.73842,-178.039,76.5994,-181.075,-1.89269,901.801,-65.3414
37,0,9.21994,,-17.0029,-27.328,-43.3548,10.9938,,-20.0307,-11.8946,18.2587,-3.25826,17.3416,5.50724,4.76454,-10.2051,-4.75292,-177.855,76.6232,-181.248,-1.45363,901.651,-65.4511
38,0,9.20691,,-17.032,-27.3137,-43.3903,11.0085,,-20.0365,-11.8701,18.1638,-3.17821,17.3337,5.50521,4.82359,-10.2396,-4.75291,-177.615,76.6157,-181.486,-1.28835,901.526,-65.5417
39,0,9.20407,,-17.0391,-27.3217,-43.418,11.0249,,-20.0445,-11.8494,18.069,-3.10818,17.3194,5.51376,4.88805,-10.2745,-4.74608,-177.362,76.6003,-181.739,-1.09016,901.525,-65.5694
40,0,9.21359,,-17.0544,-27.3441,-43.4565,11.0892,,-20.1092,-11.9191,18.0058,-2.99972,17.2963,5.4867,4.97763,-10.2586,-4.76674,-177,76.5414,-182.059,-0.634974,901.516,-65.6347
41,0,9.22373,,-17.0547,-27.3426,-43.4986,11.1518,,-20.1556,-11.9709,17.9582,-2.88816,17.2796,5.46191,5.06034,-10.2408,-4.7886,-176.6,76.5146,-182.428,-0.369183,901.548,-65.7678
42,0,9.20963,,-17.0829,-27.3417,-43.5466,11.2083,,-20.1908,-12.0151,17.9226,-2.77361,17.2556,5.42483,5.13052,-10.2287,-4.81703,-176.263,76.4873,-182.73,-0.0609337,901.508,-65.9203
43,0,9.19768,,-17.0854,-27.3526,-43.5839,11.2571,,-20.2341,-12.063,17.8766,-2.67411,17.2323,5.4012,5.20082,-10.2167,-4.83563,-175.978,76.4415,-182.988,0.300897,901.446,-66.0418
44,0,9.1701,,-17.1143,-27.3899,-43.6166,11.3073,,-20.2717,-12.1184,17.8574,-2.58006,17.2034,5.38783,5.27393,-10.2135,-4.83793,-175.729,76.3631,-183.217,0.680203,901.389,-66.0499
45,0,9.1446,,-17.1311,-27.4164,-43.6462,11.3514,,-20.3063,-12.17,17.8419,-2.48208,17.1837,5.37046,5.33795,-10.2104,-4.84733,-175.498,76.3129,-183.428,1.09378,901.403,-66.1392
46,0,9.12249,,-17.1444,-27.4497,-43.6739,11.3981,,-20.3342,-12.216,17.8274,-2.39327,17.1634,5.33989,5.40139,-10.2095,-4.86735,-175.286,76.2509,-183.609,1.44429,901.427,-66.2468
47,0,9.1001,,-17.1636,-27.4798,-43.7038,11.4395,,-20.3701,-12.2665,17.8038,-2.3083,17.1431,5.31253,5.46516,-10.21,-4.88329,-175.072,76.1943,-183.796,1.7473,901.394,-66.3776
48,0,9.08967,,-17.1617,-27.5128,-43.7278,11.4812,,-20.4038,-12.3103,17.7776,-2.22987,17.1263,5.29032,5.53394,-10.2073,-4.89421,-174.872,76.1311,-183.971,2.02888,901.256,-66.5384
49,0,9.01951,,-17.1826,-27.5051,-43.747,11.4886,,-20.4286,-12.3295,17.7305,-2.14548,17.124,5.23562,5.55551,-10.1977,-4.93066,-174.883,76.1282,-183.942,2.33594,901.129,-66.9108
50,0,9.01536,,-17.2237,-27.1139,-43.8437,11.4842,,-20.3021,-12.0915,17.6433,-1.90201,17.2812,5.15534,5.50439,-10.0621,-5.06675,-173.834,76.7337,-185.025,0.674925,901.149,-68.211
51,0,8.98645,,-17.2097,-27.0245,-43.8645,11.4939,,-20.2214,-11.9451,17.5483,-1.86547,17.3231,5.22261,5.53915,-10.0033,-5.02511,-173.72,76.7856,-185.21,0.785134,901.305,-68.2284
52,0,8.96458,,-17.199,-27.0208,-43.8787,11.5213,,-20.2079,-11.925,17.505,-1.80796,17.3277,5.20262,5.57153,-9.97518,-5.04492,-173.597,76.7723,-185.322,0.987237,901.392,-68.4309
53,0,8.94155,,-17.2135,-27.0425,-43.8847,11.541,,-20.1846,-11.8928,17.4453,-1.77878,17.3321,5.24772,5.6113,-9.97139,-5.00809,-173.463,76.7546,-185.501,1.14567,901.495,-68.5068
54,0,4.64507,,-14.4257,-31.3804,-42.8652,11.7123,,-19.9453,-11.5019,16.1531,0.486633,23.267,5.48208,6.62916,-9.99782,-4.01232,-170.756,76.2512,-188.273,5.97401,904.597,-55.7483
55,0,-1.34508,,-11.3926,-36.7939,-41.291,11.7937,,-19.729,-11.2187,14.9971,4.27868,29.0427,3.88049,6.99122,-10.2268,-4.29841,-169.048,76.2325,-189.802,6.61186,905.535,-57.7141
56,0,-8.22104,,-7.75713,-42.7054,-38.827,11.8056,,-19.7264,-11.2073,14.1625,8.8499,34.933,1.45158,7.37931,-10.4938,-4.23083,-167.888,76.0736,-191.105,7.56972,904.848,-60.0908
57,0,-14.9975,,-3.91862,-48.4424,-35.5503,11.7189,,-19.8891,-11.361,13.6744,13.5264,40.5848,-1.31594,7.84338,-10.6963,-3.5548,-167.083,75.9383,-192.607,8.71333,902.558,-62.0833
58,0,-20.7194,,-0.316213,-53.5133,-31.7883,11.5476,,-20.0888,-11.5007,13.436,17.6324,45.6384,-4.01803,8.31245,-10.7937,-2.4841,-166.4,75.9726,-194.346,9.73479,899.473,-63.2853
59,0,-25.1132,,2.96956,-57.7575,-27.7665,11.3257,,-20.2503,-11.5991,13.4109,20.8386,49.7887,-6.45912,8.67585,-10.7956,-1.35511,-166.398,76.0102,-195.435,10.7254,896.612,-63.7397
60,0,-28.287,,6.02312,-61.1508,-23.6024,11.0667,,-20.3035,-11.5706,13.5032,23.2485,53.1408,-8.61114,8.86619,-10.7529,-0.397364,-166.628,76.2063,-196.142,10.9426,894.538,-63.643
61,0,-30.5976,,8.86777,-63.8505,-19.3996,10.7853,,-20.2697,-11.4758,13.6945,25.029,55.725,-10.5149,8.88591,-10.6929,0.33863,-167.502,76.3944,-195.998,10.9025,893.215,-63.3096
62,0,-32.3452,,11.7759,-66.0128,-15.0067,10.4996,,-20.1876,-11.3696,13.9608,26.4241,57.7402,-12.271,8.77328,-10.6419,0.869326,-168.797,76.5678,-195.243,10.5636,892.421,-62.9049
63,0,-33.7337,,14.7851,-67.7173,-10.4399,10.2127,,-20.0919,-11.2738,14.2555,27.6154,59.3377,-13.9491,8.56784,-10.5947,1.24659,-170.345,76.7289,-194.088,10.0166,891.947,-62.5023
64,0,-34.9118,,17.8892,-69.0972,-5.71831,9.94832,,-19.9872,-11.2137,14.5957,28.6519,60.5771,-15.5452,8.31222,-10.546,1.52484,-172.136,76.8166,-192.589,9.55739,891.704,-62.1254
65,0,-35.9397,,21.1375,-70.1829,-0.830242,9.7086,,-19.8665,-11.1702,14.9714,29.7108,61.5914,-17.1846,8.01479,-10.5071,1.70073,-173.865,76.9247,-191.059,8.92104,891.664,-61.8356
66,0,-36.8608,,24.3965,-71.0456,4.10016,9.48261,,-19.7728,-11.1546,15.3132,30.7021,62.4198,-18.7466,7.70895,-10.4541,1.83273,-175.582,77.0066,-189.501,8.25,891.655,-61.5909
67,0,-37.7235,,27.8404,-71.7005,9.20671,9.29054,,-19.6811,-11.1628,15.6621,31.8042,63.1207,-20.4053,7.4006,-10.4062,1.90255,-177.228,77.0653,-187.949,7.5236,891.766,-61.3925
68,0,-38.5097,,31.0739,-72.2139,14.1297,9.11642,,-19.6044,-11.1805,15.9752,32.8883,63.695,-22.0179,7.09728,-10.3412,1.94175,-178.848,77.1066,-186.394,6.82515,891.878,-61.2482
69,0,-39.2337,,34.226,-72.6016,18.9774,8.9663,,-19.533,-11.2039,16.2655,33.9815,64.1741,-23.6113,6.80328,-10.265,1.94929,-180.393,77.1256,-184.881,6.18757,891.947,-61.1008
70,0,-39.9235,,37.3798,-72.849,23.8064,8.83648,,-19.4613,-11.2244,16.5382,35.2243,64.6034,-25.3314,6.51027,-10.1954,1.90689,-181.758,77.1785,-183.51,5.47121,892.028,-61.0583
71,0,-40.5806,,40.3333,-73.0176,28.4349,8.72865,,-19.3966,-11.2549,16.7907,36.479,64.9526,-27.039,6.2295,-10.1204,1.84338,-183.065,77.201,-182.17,4.98098,891.933,-61.0102
72,0,-41.2179,,43.1732,-73.1289,32.9434,8.64017,,-19.3755,-11.3369,17.0035,37.6899,65.2267,-28.6685,5.97758,-10.035,1.79048,-184.281,77.1671,-180.925,4.59946,892.037,-60.9758
73,0,-41.8177,,45.9947,-73.1258,37.3962,8.57658,,-19.3377,-11.4009,17.2256,39.0372,65.4938,-30.3989,5.73664,-9.9523,1.7087,-185.232,77.2062,-179.92,3.90089,892.27,-61.0225
74,0,-42.3941,,48.4885,-73.121,41.5215,8.53171,,-19.3206,-11.4936,17.4287,40.26,65.6911,-31.9706,5.52326,-9.85682,1.6497,-186.192,77.1666,-178.919,3.57468,892.438,-61.0126
75,0,-42.9382,,50.8641,-73.0415,45.4982,8.49994,,-19.3044,-11.5848,17.6185,41.5342,65.8584,-33.5759,5.31439,-9.75927,1.56893,-187.021,77.1506,-178.028,3.16995,892.59,-61.0356
76,0,-43.4537,,53.0064,-72.9388,49.2177,8.48187,,-19.281,-11.6687,17.8005,42.8226,65.9934,-35.1716,5.11051,-9.65938,1.47371,-187.79,77.1467,-177.187,2.88302,892.747,-61.0316
77,0,-43.9321,,54.9443,-72.7995,52.7068,8.46738,,-19.2743,-11.7535,17.9394,44.0796,66.1061,-36.7203,4.92052,-9.5485,1.3815,-188.515,77.1424,-176.391,2.74625,892.933,-61.0202
78,0,-44.3841,,56.7142,-72.6242,55.9815,8.46412,,-19.2639,-11.8389,18.0785,45.3011,66.1927,-38.2164,4.74103,-9.43883,1.29145,-189.185,77.1353,-175.652,2.56129,893.211,-61.0526
79,0,-44.8191,,58.2953,-72.4581,59.0417,8.47157,,-19.2529,-11.928,18.2169,46.469,66.2503,-39.64,4.57515,-9.33278,1.2088,-189.773,77.1181,-174.999,2.27861,893.43,-61.1311
