Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
26,0,8.22623,,-15.5869,-7.33687,-33.1448,13.5771,,-17.5759,-0.186571,12.6072,0.88667,6.54373,3.70537,-0.642979,-15.3423,-11.0271,172.402,84.2862,-169.8,-120.394,912.066,-26.11
27,0,8.21772,,-15.5946,-7.3313,-33.135,13.6168,,-17.5745,-0.172008,12.474,0.914465,6.55636,3.7077,-0.655372,-15.33,-11.0318,172.518,84.3164,-169.929,-120.396,912.022,-26.2552
28,0,8.22675,,-15.5968,-7.32783,-33.1294,13.6543,,-17.5694,-0.160701,12.3191,0.941352,6.57477,3.71669,-0.653107,-15.3309,-11.0316,172.748,84.3389,-170.167,-120.38,911.943,-26.2854
29,0,8.22935,,-15.5984,-7.32454,-33.1262,13.6732,,-17.5423,-0.140308,12.1935,0.964261,6.58772,3.70593,-0.65088,-15.3435,-11.0457,172.89,84.3559,-170.302,-120.388,911.815,-26.3525
30,0,8.22792,,-15.6015,-7.31729,-33.1205,13.6772,,-17.5266,-0.120746,12.0576,0.979404,6.60184,3.71024,-0.646564,-15.3473,-11.0438,172.954,84.3769,-170.377,-120.422,911.767,-26.4438
31,0,8.22662,,-15.6031,-7.30712,-33.1173,13.6711,,-17.514,-0.107625,12.0131,0.9907,6.61873,3.72136,-0.639005,-15.346,-11.032,172.992,84.4004,-170.432,-120.413,911.856,-26.5262
32,0,8.20563,,-15.6113,-7.30535,-33.1036,13.6721,,-17.5012,-0.0983073,12.0325,1.00037,6.6294,3.73454,-0.642777,-15.3371,-11.0191,172.946,84.4183,-170.406,-120.356,912.005,-26.6148
33,0,8.20614,,-15.6127,-7.28392,-33.1126,13.5851,,-17.4814,-0.0756762,12.1673,0.978766,6.62819,3.709,-0.6371,-15.3365,-11.0312,172.648,84.4435,-170.094,-120.387,912.118,-26.7067
34,0,8.21491,,-15.6115,-7.26558,-33.1204,13.531,,-17.4748,-0.0603014,12.2547,0.959815,6.62821,3.69954,-0.631353,-15.3303,-11.0334,172.469,84.455,-169.917,-120.452,912.16,-26.8275
35,0,8.20635,,-15.6167,-7.25959,-33.1115,13.5823,,-17.4882,-0.063556,12.2226,0.977912,6.63862,3.70435,-0.648623,-15.3061,-11.0353,172.566,84.4674,-170.026,-120.445,912.093,-26.9325
36,0,8.21435,,-15.6149,-7.24554,-33.1164,13.6181,,-17.501,-0.0615654,12.1702,0.988957,6.64636,3.69033,-0.664459,-15.2855,-11.055,172.618,84.486,-170.073,-120.489,912.022,-27.028
37,0,8.12166,,-15.6576,-7.13763,-33.1489,13.6056,,-17.4756,0.0302054,12.039,1.0417,6.70639,3.63513,-0.742398,-15.2143,-11.1066,171.545,84.6402,-168.999,-120.041,911.923,-27.5515
38,0,8.17375,,-15.6227,-7.19386,-33.1328,13.6645,,-17.4851,-0.024061,12.0457,1.01418,6.67313,3.64314,-0.723765,-15.2419,-11.1063,172.446,84.5424,-169.881,-120.667,911.967,-27.3174
39,0,8.20529,,-15.6147,-7.21875,-33.123,13.6905,,-17.5063,-0.0552731,11.987,1.01662,6.66537,3.65318,-0.704195,-15.2514,-11.1003,172.774,84.5237,-170.212,-120.635,912.021,-27.2884
40,0,8.12296,,-15.6475,-7.13922,-33.1465,13.6673,,-17.4718,0.0217087,11.9144,1.06524,6.72346,3.60377,-0.773161,-15.1967,-11.1478,171.704,84.6722,-169.141,-120.066,912.002,-27.8113
41,0,8.16936,,-15.6118,-7.21613,-33.1169,13.6995,,-17.4909,-0.0425032,11.9728,1.02821,6.69723,3.63044,-0.736886,-15.2276,-11.1239,172.562,84.5571,-169.996,-120.625,912.057,-27.5302
42,0,8.10218,,-15.6444,-7.14678,-33.1334,13.6747,,-17.4689,0.0262144,11.9098,1.06605,6.75599,3.60027,-0.790384,-15.1739,-11.1493,171.575,84.6879,-169.026,-120.054,912.067,-28.0015
43,0,8.16862,,-15.6182,-7.2141,-33.1117,13.7246,,-17.4776,-0.0411246,12.0257,1.02887,6.71043,3.60761,-0.758585,-15.2098,-11.1472,172.556,84.5625,-169.984,-120.656,912.05,-27.7207
44,0,8.09896,,-15.6525,-7.11051,-33.1488,13.6652,,-17.4783,0.00567888,12.025,1.04413,6.74093,3.53515,-0.837073,-15.1333,-11.2059,171.195,84.6997,-168.616,-120.227,911.97,-28.4375
45,0,8.17731,,-15.63,-7.16932,-33.1299,13.7231,,-17.5082,-0.0640679,12.0487,0.997744,6.688,3.56297,-0.802238,-15.16,-11.1869,172.23,84.5759,-169.639,-120.914,911.969,-28.0589
46,0,8.21775,,-15.6461,-7.15916,-33.1372,13.7519,,-17.5205,-0.0820537,12.0173,0.993539,6.66019,3.55058,-0.802899,-15.159,-11.204,172.466,84.571,-169.865,-120.982,911.978,-28.1589
47,0,8.24125,,-15.649,-7.15152,-33.1451,13.7716,,-17.527,-0.0880098,12.02,0.997545,6.65827,3.53395,-0.810624,-15.1488,-11.2248,172.568,84.587,-169.96,-121.02,911.983,-28.3027
48,0,8.23573,,-15.6629,-7.14605,-33.1401,13.7853,,-17.5255,-0.0818064,12.0694,1.00846,6.66249,3.52357,-0.818172,-15.131,-11.2363,172.562,84.6058,-169.952,-121.015,911.899,-28.4154
49,0,8.23385,,-15.6616,-7.14967,-33.1329,13.7919,,-17.5225,-0.0715046,12.0942,1.01722,6.68574,3.50466,-0.82602,-15.1167,-11.2602,172.544,84.6236,-169.923,-120.985,911.859,-28.5252
50,0,8.22092,,-15.6574,-7.161,-33.1201,13.7831,,-17.5284,-0.0645297,12.1335,1.02771,6.71274,3.48659,-0.832959,-15.0965,-11.2769,172.486,84.6506,-169.858,-120.997,911.897,-28.6611
