Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
25,0,-9.11691,,-10.8108,-6.9926,-48.682,5.79054,,-26.8056,21.9309,60.151,-1.88567,1.88267,7.85785,-8.69219,-32.6188,-9.54805,117.632,77.9195,-117.91,-0.507557,874.111,-65.2913
26,0,-9.12309,,-10.8158,-7.00031,-48.6872,5.81909,,-26.8064,21.942,60.1537,-1.86885,1.88033,7.85468,-8.6955,-32.6225,-9.56338,117.691,77.9305,-117.966,-0.502339,874.035,-65.3397
27,0,-9.11589,,-10.817,-7.0039,-48.6907,5.80385,,-26.8136,21.949,60.1554,-1.86437,1.87822,7.86827,-8.67257,-32.6393,-9.54589,117.735,77.9339,-118.022,-0.52233,873.983,-65.2948
28,0,-9.10633,,-10.8116,-7.01312,-48.6903,5.77487,,-26.8217,21.9547,60.1588,-1.86194,1.87889,7.88566,-8.64131,-32.6611,-9.52047,117.771,77.9364,-118.074,-0.557273,874.013,-65.2542
29,0,-9.13401,,-10.8151,-7.00999,-48.6917,5.77715,,-26.8204,21.9674,60.1685,-1.83846,1.87053,7.91993,-8.6077,-32.6799,-9.48164,117.827,77.9398,-118.161,-0.541953,874.003,-65.2084
30,0,-9.14115,,-10.8158,-7.01092,-48.6941,5.77066,,-26.8162,21.9788,60.1763,-1.82833,1.87445,7.92626,-8.5961,-32.6921,-9.47294,117.823,77.9461,-118.161,-0.506292,874.009,-65.1816
31,0,-9.13655,,-10.8101,-7.02583,-48.6976,5.76015,,-26.8174,21.987,60.1778,-1.8323,1.89062,7.89268,-8.61275,-32.6942,-9.50773,117.809,77.9472,-118.116,-0.488284,873.989,-65.2181
32,0,-9.14983,,-10.8233,-7.01864,-48.708,5.75534,,-26.8285,21.9971,60.1792,-1.81625,1.89126,7.88544,-8.61,-32.7004,-9.5155,117.796,77.9568,-118.095,-0.489576,873.978,-65.2516
33,0,-9.13513,,-10.8207,-7.03117,-48.7127,5.77158,,-26.8309,22.0054,60.1799,-1.80672,1.89436,7.87436,-8.60763,-32.7048,-9.53386,117.866,77.9672,-118.153,-0.46261,873.905,-65.2413
34,0,-9.14307,,-10.8239,-7.02815,-48.716,5.79141,,-26.8304,22.0142,60.1849,-1.79463,1.89119,7.89693,-8.59714,-32.7209,-9.51494,117.894,77.9731,-118.203,-0.447879,873.892,-65.2116
