Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-11.3728,,-10.5815,0.362277,-50.8721,6.66249,,-27.2255,25.2259,59.4014,-2.99598,5.25096,7.07671,-12.6787,-40.7058,-9.92759,102.822,77.2272,-103.656,-771.652,880.561,-401.875
2,0,-11.38,,-10.5776,0.35804,-50.8737,6.65858,,-27.2305,25.2527,59.4115,-2.98659,5.27028,7.06431,-12.6879,-40.7204,-9.94266,102.78,77.2352,-103.606,-771.705,880.593,-401.904
3,0,-11.3917,,-10.5781,0.357392,-50.8753,6.67113,,-27.2411,25.2781,59.4209,-2.96643,5.28245,7.0654,-12.6998,-40.737,-9.9512,102.68,77.2493,-103.513,-771.77,880.574,-401.993
4,0,-11.3866,,-10.5823,0.364455,-50.8749,6.698,,-27.2538,25.3039,59.4325,-2.95389,5.28575,7.10235,-12.681,-40.7614,-9.91971,102.645,77.2676,-103.513,-771.818,880.518,-402
5,0,-11.4072,,-10.5901,0.372602,-50.8762,6.71446,,-27.2652,25.3298,59.4437,-2.93225,5.28699,7.13044,-12.6578,-40.7833,-9.89042,102.631,77.2798,-103.523,-771.801,880.434,-401.957
6,0,-11.4042,,-10.5966,0.380979,-50.8796,6.7135,,-27.2724,25.35,59.4516,-2.92121,5.29632,7.14095,-12.6367,-40.8063,-9.8774,102.618,77.2968,-103.516,-771.796,880.394,-401.887
7,0,-11.4218,,-10.5984,0.379214,-50.882,6.70547,,-27.2801,25.3749,59.4611,-2.8989,5.30669,7.13589,-12.6267,-40.8194,-9.88467,102.577,77.3145,-103.469,-771.776,880.332,-401.847
8,0,-11.4034,,-10.5911,0.364513,-50.8804,6.70574,,-27.2824,25.4009,59.4713,-2.8929,5.3227,7.12489,-12.6206,-40.829,-9.90547,102.604,77.3331,-103.48,-771.789,880.361,-401.793
9,0,-11.4197,,-10.5916,0.358687,-50.8842,6.6962,,-27.2907,25.4235,59.4772,-2.87439,5.34277,7.08871,-12.6418,-40.8362,-9.95207,102.602,77.345,-103.443,-771.853,880.44,-401.798
10,0,-11.4088,,-10.5904,0.360186,-50.8819,6.70477,,-27.308,25.4458,59.4858,-2.86315,5.34743,7.11567,-12.6129,-40.8592,-9.92793,102.594,77.3701,-103.459,-771.892,880.53,-401.779
11,0,-11.4299,,-10.5959,0.369421,-50.8802,6.75374,,-27.3149,25.4717,59.498,-2.8374,5.349,7.14764,-12.6069,-40.879,-9.90996,102.572,77.3903,-103.471,-771.923,880.583,-401.832
12,0,-11.4346,,-10.5984,0.373941,-50.8775,6.76637,,-27.3257,25.4979,59.5098,-2.82009,5.35369,7.173,-12.5828,-40.8995,-9.88277,102.557,77.4048,-103.48,-771.929,880.553,-401.804
13,0,-11.439,,-10.6035,0.378545,-50.8766,6.77488,,-27.3345,25.524,59.521,-2.80021,5.36203,7.18362,-12.573,-40.9147,-9.87669,102.48,77.4228,-103.412,-771.934,880.413,-401.817
14,0,-11.4333,,-10.6066,0.377325,-50.8764,6.77628,,-27.3416,25.5469,59.53,-2.79246,5.37925,7.17275,-12.5787,-40.9264,-9.89351,102.448,77.4376,-103.369,-771.987,880.275,-401.802
15,0,-11.4123,,-10.5962,0.354104,-50.8739,6.76523,,-27.3508,25.5677,59.5358,-2.79829,5.41036,7.12714,-12.6105,-40.9313,-9.94878,102.401,77.4459,-103.284,-772.03,880.234,-401.857
16,0,-11.4473,,-10.6004,0.348399,-50.8757,6.77763,,-27.3569,25.5902,59.5428,-2.76314,5.41797,7.10957,-12.6183,-40.9392,-9.97854,102.424,77.4625,-103.289,-772.021,880.248,-401.837
17,0,-11.44,,-10.603,0.346203,-50.8754,6.78624,,-27.3641,25.6119,59.5505,-2.74574,5.42155,7.12009,-12.5941,-40.9563,-9.97383,102.463,77.4866,-103.337,-772.023,880.338,-401.82
18,0,-11.4723,,-10.6102,0.353218,-50.8761,6.80247,,-27.3681,25.6342,59.5602,-2.71611,5.42641,7.13194,-12.5845,-40.9759,-9.96564,102.457,77.5013,-103.343,-772.039,880.41,-401.817
19,0,-11.4561,,-10.6057,0.344988,-50.8718,6.8122,,-27.3732,25.6552,59.5694,-2.70688,5.4356,7.14619,-12.5657,-40.9969,-9.95428,102.442,77.5214,-103.341,-772.083,880.37,-401.814
20,0,-11.463,,-10.6043,0.3435,-50.8698,6.8025,,-27.3843,25.6741,59.5772,-2.6938,5.45121,7.14627,-12.5619,-41.0165,-9.95466,102.385,77.5305,-103.285,-772.124,880.315,-401.829
21,0,-11.4568,,-10.5929,0.322666,-50.8666,6.8131,,-27.3913,25.6918,59.5827,-2.67822,5.46837,7.12703,-12.5707,-41.0282,-9.98775,102.41,77.5489,-103.292,-772.129,880.244,-401.832
22,0,-11.4557,,-10.5876,0.309883,-50.8627,6.82202,,-27.4026,25.7083,59.5882,-2.66279,5.47448,7.13471,-12.5603,-41.0479,-9.9901,102.425,77.5726,-103.313,-772.165,880.292,-401.81
23,0,-11.4536,,-10.582,0.297045,-50.862,6.83985,,-27.406,25.7249,59.5927,-2.64561,5.48636,7.12209,-12.5605,-41.0628,-10.0147,102.505,77.5917,-103.381,-772.119,880.352,-401.805
24,0,-11.4691,,-10.5825,0.292907,-50.8609,6.85158,,-27.4143,25.7432,59.5989,-2.62054,5.48755,7.13442,-12.5434,-41.0837,-10.0065,102.503,77.616,-103.391,-772.159,880.424,-401.796
25,0,-11.4201,,-10.5092,0.206159,-50.8725,6.66035,,-27.4009,25.658,59.5514,-2.53288,5.29795,7.41842,-11.9693,-41.2728,-9.57581,103.928,77.7392,-104.938,-772.303,880.504,-399.592
26,0,-11.5207,,-10.5399,0.236607,-50.8939,6.69679,,-27.3737,25.6766,59.5526,-2.50492,5.36519,7.24461,-12.1976,-41.2455,-9.80933,103.498,77.6788,-104.447,-771.912,880.386,-401.221
27,0,-11.4938,,-10.5496,0.241895,-50.8957,6.7435,,-27.3735,25.7108,59.5662,-2.5003,5.3838,7.21912,-12.2419,-41.2354,-9.86571,103.399,77.706,-104.331,-772.017,880.308,-401.329
28,0,-11.4929,,-10.5659,0.26165,-50.895,6.75516,,-27.3895,25.744,59.5817,-2.49859,5.39431,7.23333,-12.2516,-41.2418,-9.85871,103.22,77.7187,-104.171,-772.12,880.291,-401.391
29,0,-11.4781,,-10.5773,0.273047,-50.8958,6.77515,,-27.3988,25.7735,59.5943,-2.49596,5.40825,7.23174,-12.2655,-41.2473,-9.87116,103.156,77.7274,-104.107,-772.128,880.3,-401.416
30,0,-11.4887,,-10.5814,0.270084,-50.8957,6.78121,,-27.41,25.7998,59.6031,-2.48578,5.42621,7.2057,-12.3007,-41.2495,-9.90978,103.076,77.736,-104.006,-772.219,880.277,-401.484
31,0,-11.4301,,-10.5099,0.181299,-50.9092,6.60583,,-27.3969,25.7197,59.5569,-2.40343,5.2479,7.45913,-11.7712,-41.4222,-9.52063,104.435,77.8522,-105.463,-772.364,880.337,-399.357
32,0,-11.4838,,-10.4766,0.145386,-50.9455,6.44208,,-27.371,25.6449,59.5088,-2.30109,5.12075,7.57014,-11.4455,-41.5521,-9.31668,105.266,77.8932,-106.363,-772.1,880.344,-398.901
33,0,-11.5005,,-10.4678,0.14342,-50.9869,6.33299,,-27.3457,25.587,59.47,-2.20954,5.00225,7.67672,-11.163,-41.6587,-9.14363,105.946,77.9502,-107.115,-771.907,880.357,-398.584
34,0,-11.5696,,-10.5348,0.224093,-51.0113,6.46048,,-27.3271,25.6468,59.4935,-2.20016,5.09313,7.48304,-11.4966,-41.5776,-9.4491,105.166,77.9074,-106.272,-771.582,880.271,-400.432
35,0,-11.4767,,-10.5114,0.187909,-51.0171,6.40796,,-27.3247,25.6276,59.4795,-2.22634,5.0023,7.63217,-11.2674,-41.6606,-9.24431,105.901,77.969,-107.051,-772.18,880.413,-398.947
36,0,-11.47,,-10.4892,0.161365,-51.0464,6.28781,,-27.3122,25.5849,59.4466,-2.17618,4.90563,7.7085,-11.0386,-41.7479,-9.09942,106.478,77.9929,-107.656,-771.945,880.405,-398.383
37,0,-11.4676,,-10.4876,0.159507,-51.0857,6.20213,,-27.2953,25.5485,59.4157,-2.11635,4.8127,7.76362,-10.8518,-41.8189,-8.99939,106.98,78.0271,-108.186,-771.787,880.375,-398.12
38,0,-11.4702,,-10.496,0.172968,-51.1268,6.14078,,-27.2804,25.5192,59.3891,-2.0556,4.72034,7.82428,-10.6825,-41.8824,-8.90277,107.422,78.065,-108.665,-771.683,880.307,-397.914
39,0,-11.4639,,-10.5095,0.195617,-51.1661,6.09299,,-27.2698,25.4976,59.3677,-2.01436,4.63965,7.88228,-10.5422,-41.9384,-8.8124,107.77,78.0905,-109.054,-771.627,880.3,-397.782
40,0,-11.5025,,-10.5848,0.290937,-51.1877,6.23952,,-27.2823,25.5794,59.4007,-2.04406,4.76059,7.66062,-10.9626,-41.8302,-9.16004,106.65,78.0345,-107.856,-771.387,880.223,-399.803
