Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-9.36369,,-12.785,2.26629,-51.1578,8.83087,,-28.172,21.8076,57.9276,-6.44279,-0.878608,6.67119,-14.864,-35.8766,-7.69603,115.088,72.9916,-116.797,-736.136,880.048,-401.105
2,0,-9.40385,,-12.7655,2.2197,-51.1617,8.73901,,-28.203,21.8758,57.9587,-6.44428,-0.866621,6.60369,-14.8369,-35.8579,-7.7836,115.207,72.9353,-116.854,-735.807,879.949,-401.166
3,0,-9.39271,,-12.7758,2.25914,-51.1631,8.81645,,-28.1842,21.8679,57.961,-6.37485,-0.878871,6.66562,-14.8186,-35.9205,-7.71042,115.155,73.0242,-116.852,-735.875,880.033,-401.099
4,0,-9.42109,,-12.7784,2.27372,-51.1624,8.80376,,-28.1797,21.8765,57.9672,-6.36543,-0.872787,6.68137,-14.7986,-35.953,-7.68543,115.137,73.0241,-116.851,-735.849,880.079,-401.05
5,0,-9.51133,,-12.8476,2.38029,-51.1435,9.01936,,-28.2058,22.0237,58.0395,-6.46905,-0.604046,6.37861,-15.3757,-35.7856,-8.10809,113.822,72.9496,-115.432,-735.562,880.007,-403.781
6,0,-9.33174,,-12.8126,2.34814,-51.1263,9.03286,,-28.2149,22.0445,58.0519,-6.44391,-0.658397,6.52583,-15.1526,-35.8258,-7.93777,114.366,73.0994,-115.982,-736.448,880.174,-401.652
7,0,-9.39576,,-12.808,2.3465,-51.1284,8.9592,,-28.223,22.0507,58.0526,-6.38914,-0.683288,6.56493,-15.0586,-35.8629,-7.87369,114.437,73.0923,-116.082,-736.172,880.105,-401.611
8,0,-9.4236,,-12.8019,2.34292,-51.1366,8.93246,,-28.2219,22.0621,58.0555,-6.32536,-0.69604,6.56632,-14.9884,-35.8829,-7.86465,114.54,73.1207,-116.181,-736.091,880.009,-401.635
9,0,-9.42693,,-12.7859,2.31721,-51.1331,8.90008,,-28.2261,22.0724,58.0588,-6.28892,-0.710991,6.59174,-14.9137,-35.9096,-7.83537,114.658,73.1521,-116.309,-736.13,879.973,-401.561
10,0,-9.44795,,-12.7828,2.32245,-51.1288,8.89681,,-28.2258,22.0854,58.0674,-6.2446,-0.725364,6.64799,-14.8429,-35.9432,-7.77354,114.734,73.1765,-116.434,-736.08,879.899,-401.509
11,0,-9.46738,,-12.7807,2.32409,-51.1264,8.87501,,-28.2249,22.0986,58.0748,-6.22276,-0.7217,6.65908,-14.8069,-35.9676,-7.75733,114.775,73.1868,-116.483,-736.082,879.884,-401.455
12,0,-9.43195,,-12.766,2.31454,-51.1261,8.85973,,-28.2173,22.1103,58.0805,-6.2126,-0.703419,6.63316,-14.7887,-35.9839,-7.78072,114.824,73.2107,-116.511,-736.074,879.908,-401.463
13,0,-9.41784,,-12.7465,2.28801,-51.1274,8.84473,,-28.2093,22.119,58.0815,-6.1977,-0.686902,6.58304,-14.7875,-35.9943,-7.8346,114.923,73.2287,-116.561,-736.077,879.964,-401.455
14,0,-9.45735,,-12.7364,2.2559,-51.1382,8.79576,,-28.241,22.1904,58.1139,-6.16689,-0.683742,6.51739,-14.749,-35.9684,-7.93047,115.077,73.217,-116.655,-735.918,879.922,-401.53
15,0,-9.43633,,-12.7477,2.29453,-51.1479,8.88893,,-28.2304,22.1814,58.1109,-6.07245,-0.701953,6.56415,-14.7245,-36.024,-7.88171,115.091,73.3245,-116.703,-735.961,880.037,-401.533
16,0,-9.44816,,-12.7565,2.32198,-51.1526,8.897,,-28.229,22.1824,58.1121,-6.03661,-0.717381,6.61744,-14.6626,-36.0691,-7.82134,115.154,73.3479,-116.811,-735.916,880.044,-401.452
17,0,-9.48222,,-12.7693,2.35256,-51.1581,8.89649,,-28.2319,22.1979,58.1201,-5.99382,-0.729266,6.66084,-14.6088,-36.0968,-7.76931,115.161,73.3741,-116.861,-735.892,879.966,-401.429
18,0,-9.50739,,-12.772,2.36398,-51.1632,8.88725,,-28.2262,22.216,58.1292,-5.96696,-0.723161,6.65449,-14.59,-36.1108,-7.77362,115.176,73.3826,-116.87,-735.854,879.91,-401.424
19,0,-9.47499,,-12.7541,2.33651,-51.1651,8.86099,,-28.2203,22.2269,58.1308,-5.95072,-0.715108,6.61917,-14.5776,-36.1191,-7.81311,115.219,73.4109,-116.877,-735.867,879.931,-401.452
20,0,-9.48285,,-12.7379,2.31229,-51.1695,8.83024,,-28.2254,22.2364,58.13,-5.92417,-0.712286,6.58839,-14.5506,-36.1315,-7.84129,115.317,73.4258,-116.943,-735.911,879.906,-401.445
21,0,-9.5243,,-12.7437,2.32675,-51.175,8.81799,,-28.2442,22.2485,58.1325,-5.87802,-0.724973,6.6151,-14.5071,-36.1582,-7.80888,115.36,73.4442,-117.013,-735.942,879.92,-401.444
22,0,-9.53269,,-12.746,2.3345,-51.1814,8.82597,,-28.25,22.2614,58.1355,-5.83861,-0.731758,6.62421,-14.4713,-36.1782,-7.79685,115.454,73.4647,-117.114,-735.905,879.907,-401.418
23,0,-9.55966,,-12.7563,2.35639,-51.1896,8.83351,,-28.2593,22.2798,58.1425,-5.80194,-0.734402,6.63518,-14.4438,-36.1955,-7.78566,115.452,73.4859,-117.128,-735.875,879.808,-401.46
24,0,-9.61563,,-12.8123,2.43518,-51.1967,8.88882,,-28.268,22.3139,58.1634,-5.70174,-0.790176,6.76431,-14.3412,-36.222,-7.65883,115.448,73.5478,-117.233,-735.866,879.625,-401.291
25,0,-9.61718,,-12.8378,2.46593,-51.2064,8.8893,,-28.2554,22.3415,58.1777,-5.65957,-0.793218,6.75822,-14.3133,-36.2229,-7.66562,115.413,73.5856,-117.192,-735.73,879.646,-401.311
26,0,-9.58846,,-12.8444,2.46744,-51.2117,8.86867,,-28.2521,22.3645,58.1863,-5.63898,-0.789242,6.73407,-14.2937,-36.2233,-7.68913,115.413,73.6225,-117.17,-735.76,879.681,-401.377
27,0,-9.59047,,-12.8623,2.48067,-51.2196,8.87012,,-28.2464,22.3809,58.1916,-5.59634,-0.806978,6.74041,-14.2553,-36.2351,-7.68682,115.493,73.6597,-117.244,-735.829,879.723,-401.284
28,0,-9.55675,,-12.8532,2.46826,-51.1909,9.02523,,-28.2547,22.4844,58.2373,-5.79771,-0.534716,6.38436,-14.8183,-36.0937,-8.15352,114.468,73.565,-116.036,-735.738,879.904,-403.556
29,0,-9.58241,,-12.8834,2.50431,-51.1839,9.03781,,-28.3051,22.5152,58.2529,-5.6669,-0.647913,6.62977,-14.5632,-36.1522,-7.87885,114.786,73.6873,-116.479,-736.377,879.749,-401.833
30,0,-9.6056,,-12.8902,2.50535,-51.1842,9.0025,,-28.3073,22.5215,58.2552,-5.62408,-0.674511,6.67435,-14.478,-36.1887,-7.82027,114.885,73.6979,-116.606,-736.193,879.647,-401.672
31,0,-9.61471,,-12.8996,2.51247,-51.1859,8.97489,,-28.2998,22.5275,58.2592,-5.60029,-0.683812,6.69337,-14.4249,-36.2208,-7.78945,114.95,73.709,-116.687,-736.113,879.618,-401.644
32,0,-9.61151,,-12.9013,2.50778,-51.1847,8.94681,,-28.2989,22.5376,58.2641,-5.5698,-0.701183,6.72479,-14.354,-36.2509,-7.74449,115.032,73.7317,-116.79,-736.081,879.576,-401.553
33,0,-9.61601,,-12.9047,2.5095,-51.187,8.91502,,-28.2971,22.5468,58.2689,-5.53927,-0.715272,6.75117,-14.2835,-36.2826,-7.70086,115.129,73.7447,-116.907,-736.021,879.567,-401.482
34,0,-9.59713,,-12.8982,2.49411,-51.1834,8.87462,,-28.2984,22.5523,58.2703,-5.53471,-0.719541,6.76228,-14.2407,-36.3129,-7.67713,115.21,73.7514,-116.993,-736.053,879.593,-401.426
35,0,-9.63621,,-12.946,2.54313,-51.1627,9.07295,,-28.316,22.6685,58.3249,-5.64021,-0.507486,6.50392,-14.7386,-36.1756,-8.05215,114.142,73.72,-115.82,-736.245,879.566,-403.554
36,0,-9.58851,,-12.9626,2.55019,-51.1256,9.26064,,-28.3527,22.7861,58.3816,-5.74565,-0.338549,6.35321,-15.0795,-36.0595,-8.29335,113.484,73.7298,-115.054,-736.688,879.586,-403.999
37,0,-9.47559,,-12.9082,2.48129,-51.1026,9.22223,,-28.3614,22.7775,58.3804,-5.74383,-0.396886,6.50393,-14.8537,-36.1358,-8.10439,114.07,73.7897,-115.674,-737.043,879.665,-402.16
38,0,-9.53402,,-12.8836,2.44294,-51.099,9.1793,,-28.3401,22.7609,58.3742,-5.69145,-0.433934,6.55357,-14.7473,-36.1959,-8.03376,114.322,73.7769,-115.96,-736.744,879.627,-401.978
39,0,-9.55304,,-12.8652,2.39754,-51.108,9.06583,,-28.3619,22.8092,58.3975,-5.68231,-0.447369,6.51795,-14.6527,-36.2008,-8.07596,114.599,73.7536,-116.197,-736.71,879.615,-401.896
40,0,-9.5405,,-12.8679,2.41766,-51.1162,9.10475,,-28.3391,22.784,58.3882,-5.61266,-0.466552,6.55386,-14.6234,-36.2699,-8.02246,114.611,73.8304,-116.237,-736.696,879.73,-401.92
41,0,-9.56132,,-12.8594,2.40129,-51.1205,9.05189,,-28.3323,22.7922,58.3882,-5.58527,-0.481288,6.55886,-14.5584,-36.2966,-8.00448,114.791,73.8269,-116.418,-736.616,879.722,-401.857
42,0,-9.55208,,-12.8587,2.40995,-51.1251,9.05379,,-28.3287,22.7836,58.3834,-5.56381,-0.488026,6.57914,-14.5194,-36.3398,-7.97104,114.805,73.86,-116.446,-736.761,879.744,-401.799
43,0,-9.52579,,-12.839,2.39031,-51.1223,9.02461,,-28.3345,22.7811,58.38,-5.57299,-0.484928,6.58956,-14.4908,-36.3731,-7.95515,114.87,73.8604,-116.519,-736.82,879.723,-401.794
44,0,-9.55529,,-12.8311,2.37934,-51.1221,9.01686,,-28.3365,22.7849,58.3804,-5.54141,-0.501303,6.61752,-14.4505,-36.4021,-7.92522,114.958,73.8675,-116.624,-736.824,879.652,-401.707
45,0,-9.54104,,-12.8167,2.3639,-51.1234,8.99639,,-28.3321,22.7799,58.376,-5.53877,-0.504958,6.62273,-14.415,-36.4347,-7.91365,115.097,73.8678,-116.76,-736.813,879.652,-401.58
46,0,-9.55512,,-12.8018,2.33784,-51.1299,8.98869,,-28.3202,22.7793,58.3719,-5.51291,-0.504069,6.59007,-14.3986,-36.4517,-7.94906,115.22,73.8674,-116.852,-736.599,879.658,-401.644
47,0,-9.57667,,-12.7997,2.33062,-51.1385,9.00304,,-28.3099,22.7882,58.3727,-5.49001,-0.502996,6.56331,-14.4097,-36.46,-7.98555,115.279,73.8892,-116.894,-736.703,879.699,-401.736
48,0,-9.5547,,-12.7956,2.33064,-51.1433,9.00485,,-28.308,22.7981,58.3758,-5.4826,-0.507451,6.57867,-14.3822,-36.4794,-7.97116,115.318,73.9051,-116.944,-736.656,879.76,-401.685
49,0,-9.55177,,-12.7773,2.31152,-51.1473,8.97834,,-28.3048,22.8013,58.3737,-5.48066,-0.50476,6.57006,-14.3726,-36.5002,-7.97602,115.355,73.8975,-116.974,-736.531,879.803,-401.732
50,0,-9.5253,,-12.7672,2.3015,-51.1552,8.96731,,-28.2976,22.8041,58.3714,-5.47759,-0.507894,6.56324,-14.3499,-36.5178,-7.98738,115.463,73.9186,-117.067,-736.674,879.86,-401.632
51,0,-9.55621,,-12.765,2.30166,-51.1622,8.97426,,-28.2921,22.8131,58.3736,-5.46078,-0.515743,6.5704,-14.3385,-36.5368,-7.98106,115.518,73.9101,-117.136,-736.567,879.868,-401.724
52,0,-9.51794,,-12.7543,2.29583,-51.1642,8.98971,,-28.2831,22.8209,58.3763,-5.47154,-0.514877,6.58226,-14.3284,-36.5574,-7.97406,115.578,73.9242,-117.202,-736.7,879.931,-401.648
53,0,-9.51523,,-12.7416,2.28318,-51.17,8.94629,,-28.2843,22.8247,58.3736,-5.47471,-0.516973,6.57525,-14.3098,-36.5782,-7.97164,115.625,73.9212,-117.238,-736.769,879.986,-401.574
54,0,-9.5346,,-12.7115,2.22628,-51.1743,8.86224,,-28.3194,22.8898,58.4019,-5.50192,-0.502468,6.50235,-14.2922,-36.5562,-8.06192,115.782,73.8583,-117.327,-736.596,879.781,-401.578
55,0,-9.51901,,-12.7111,2.25576,-51.1795,8.91955,,-28.3156,22.8738,58.3954,-5.45861,-0.507283,6.54671,-14.2997,-36.6179,-8.00432,115.693,73.9229,-117.279,-736.698,879.773,-401.628
56,0,-9.49129,,-12.6823,2.22439,-51.1833,8.86487,,-28.314,22.8808,58.3921,-5.48143,-0.49545,6.51704,-14.2816,-36.6351,-8.03065,115.841,73.9017,-117.391,-736.643,879.733,-401.481
57,0,-9.50945,,-12.6654,2.20695,-51.1879,8.85898,,-28.3008,22.8873,58.3915,-5.46746,-0.500213,6.51188,-14.2746,-36.6574,-8.04047,115.916,73.9044,-117.458,-736.635,879.76,-401.441
58,0,-9.51268,,-12.6522,2.20115,-51.1915,8.86827,,-28.289,22.9016,58.3964,-5.46225,-0.497058,6.51178,-14.2689,-36.6749,-8.04202,115.927,73.908,-117.472,-736.526,879.845,-401.474
59,0,-9.51657,,-12.6463,2.21174,-51.1992,8.86577,,-28.2844,22.9144,58.3996,-5.46504,-0.495351,6.51974,-14.2664,-36.6966,-8.02974,115.936,73.9126,-117.493,-736.649,880.021,-401.486
60,0,-9.55934,,-12.6527,2.22832,-51.2123,8.86331,,-28.2801,22.9281,58.4018,-5.45168,-0.498495,6.51339,-14.2842,-36.7129,-8.0384,115.891,73.9015,-117.447,-736.592,880.039,-401.593
61,0,-9.54412,,-12.6528,2.24207,-51.2205,8.8613,,-28.2784,22.9236,58.397,-5.45265,-0.507961,6.53953,-14.2624,-36.7505,-8.00121,115.884,73.9087,-117.456,-736.582,880.028,-401.47
62,0,-9.53685,,-12.6418,2.22514,-51.2277,8.87479,,-28.2621,22.9422,58.4018,-5.43769,-0.520574,6.53782,-14.2451,-36.7527,-8.02005,116.014,73.9122,-117.577,-736.519,879.968,-401.444
63,0,-9.52371,,-12.633,2.21227,-51.2362,8.86714,,-28.2495,22.9485,58.4001,-5.44179,-0.522105,6.51661,-14.2498,-36.7658,-8.04031,116.048,73.9218,-117.589,-736.621,879.984,-401.427
64,0,-9.51366,,-12.6177,2.19948,-51.2447,8.81303,,-28.2506,22.9528,58.3961,-5.46722,-0.507505,6.47879,-14.268,-36.7803,-8.07017,116.004,73.9023,-117.514,-736.569,880.03,-401.467
65,0,-9.51317,,-12.6082,2.2036,-51.2508,8.80363,,-28.2577,22.9606,58.3968,-5.48809,-0.502931,6.48399,-14.282,-36.8009,-8.06144,115.952,73.8949,-117.475,-736.707,880.065,-401.492
66,0,-9.65911,,-12.6875,2.31385,-51.2692,8.81742,,-28.2973,22.9918,58.4107,-5.37218,-0.582106,6.63905,-14.1877,-36.8313,-7.89581,115.778,73.9269,-117.443,-736.724,879.765,-401.515
67,0,-9.51004,,-12.6433,2.25961,-51.2731,8.79876,,-28.2783,22.9952,58.4061,-5.48288,-0.517869,6.50763,-14.2722,-36.8218,-8.03321,115.847,73.89,-117.396,-736.574,879.917,-401.6
68,0,-9.62961,,-12.7128,2.3474,-51.2899,8.85091,,-28.2968,23.0249,58.4209,-5.35056,-0.60226,6.65501,-14.1585,-36.8463,-7.88413,115.848,73.9521,-117.523,-736.692,879.698,-401.465
69,0,-9.60346,,-12.7335,2.36937,-51.3006,8.84086,,-28.2961,23.0403,58.4248,-5.32622,-0.621046,6.67348,-14.115,-36.8539,-7.86298,115.841,73.9801,-117.526,-736.539,879.775,-401.453
70,0,-9.58847,,-12.7513,2.38291,-51.3157,8.84694,,-28.2836,23.0505,58.4254,-5.30581,-0.631488,6.65369,-14.1043,-36.856,-7.89117,115.892,74.0033,-117.556,-736.489,879.843,-401.473
71,0,-9.56054,,-12.7645,2.39445,-51.3249,8.85938,,-28.2742,23.0659,58.4298,-5.30451,-0.63377,6.64378,-14.1032,-36.8573,-7.90922,115.9,74.0205,-117.559,-736.441,879.846,-401.554
72,0,-9.55183,,-12.7709,2.40005,-51.3326,8.86804,,-28.2603,23.0757,58.432,-5.3017,-0.634445,6.62981,-14.1125,-36.8642,-7.93076,115.92,74.0276,-117.565,-736.421,879.813,-401.531
73,0,-9.53693,,-12.7721,2.40086,-51.3376,8.86574,,-28.2575,23.0918,58.4358,-5.32465,-0.619856,6.59829,-14.1564,-36.8618,-7.97095,115.827,74.0315,-117.455,-736.562,879.849,-401.681
74,0,-9.41921,,-12.6954,2.30724,-51.3319,8.79992,,-28.25,23.0818,58.4224,-5.4555,-0.543843,6.45243,-14.2666,-36.8622,-8.11853,115.854,73.9752,-117.352,-736.634,880.097,-401.73
75,0,-9.44007,,-12.6631,2.27651,-51.3299,8.80619,,-28.2653,23.0817,58.4174,-5.46407,-0.542592,6.46145,-14.2751,-36.8887,-8.11135,115.948,73.9438,-117.454,-736.664,880.062,-401.712
76,0,-9.47516,,-12.6518,2.26807,-51.3383,8.81243,,-28.2768,23.0805,58.4104,-5.4519,-0.546873,6.45685,-14.2848,-36.9111,-8.11788,116.012,73.9323,-117.514,-736.749,880.051,-401.734
