Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-9.00146,,-13.3031,-1.21769,-49.8365,7.1059,,-27.1279,23.6096,62.6555,-4.71271,-0.367948,5.60744,-14.1319,-32.9074,-8.32732,107.474,75.4654,-107.963,-876.96,880.495,-427.597
2,0,-8.99623,,-13.2907,-1.22915,-49.8344,7.07132,,-27.135,23.6202,62.664,-4.70149,-0.350779,5.58686,-14.1161,-32.9229,-8.33955,107.451,75.4776,-107.922,-876.934,880.472,-427.608
3,0,-9.03229,,-13.2854,-1.23619,-49.8324,7.04699,,-27.1454,23.6341,62.6752,-4.66817,-0.344936,5.58096,-14.0996,-32.9364,-8.34423,107.43,75.4871,-107.897,-876.904,880.417,-427.678
4,0,-9.05006,,-13.2868,-1.23052,-49.8317,7.02927,,-27.158,23.6486,62.688,-4.62823,-0.349017,5.60089,-14.0513,-32.9552,-8.3186,107.443,75.5112,-107.928,-876.866,880.347,-427.672
5,0,-9.07473,,-13.287,-1.23539,-49.8336,7.04155,,-27.1561,23.6656,62.7016,-4.57571,-0.354458,5.59676,-14.0168,-32.9618,-8.32866,107.534,75.5386,-108.015,-876.773,880.361,-427.715
6,0,-9.04616,,-13.2796,-1.24349,-49.8322,7.05442,,-27.1587,23.6762,62.711,-4.55993,-0.3428,5.58456,-13.9999,-32.9729,-8.34939,107.597,75.5685,-108.067,-876.748,880.388,-427.783
7,0,-9.08506,,-13.2701,-1.28336,-49.842,6.98434,,-27.2023,23.7457,62.7461,-4.54415,-0.322556,5.47188,-14.0009,-32.9316,-8.50419,107.763,75.5578,-108.13,-876.636,880.31,-427.846
8,0,-9.05017,,-13.2796,-1.25457,-49.8473,7.12885,,-27.1895,23.7316,62.7439,-4.46274,-0.329748,5.49444,-14.0214,-32.9774,-8.49302,107.68,75.6658,-108.071,-876.658,880.466,-427.948
9,0,-9.05151,,-13.2782,-1.25658,-49.8497,7.1566,,-27.1911,23.7361,62.7479,-4.42867,-0.333593,5.49737,-14.0024,-32.9951,-8.50087,107.748,75.6931,-108.14,-876.612,880.552,-427.97
10,0,-9.07949,,-13.286,-1.2481,-49.8573,7.13015,,-27.209,23.7424,62.7497,-4.38251,-0.342643,5.49554,-13.9562,-33.0112,-8.49171,107.802,75.7171,-108.19,-876.591,880.472,-427.965
11,0,-9.12172,,-13.3011,-1.23314,-49.8669,7.12712,,-27.2206,23.753,62.7543,-4.32162,-0.358094,5.49882,-13.9115,-33.0224,-8.48508,107.884,75.7409,-108.273,-876.557,880.318,-427.994
