Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
3481954.0000,0.0547,0.0014,9.8200,0.0018,0.0011,-0.0001,27.7300
3504954.0000,0.0147,-0.0086,9.7900,0.0018,-0.0089,-0.0001,27.6800
3527953.0000,-0.0053,-0.0386,9.8100,0.0018,0.0011,-0.0001,27.7800
3550953.0000,0.0247,0.0914,9.7200,0.0018,0.0011,-0.0001,27.7800
3573954.0000,-0.0053,0.0014,9.7600,0.0018,0.0011,-0.0001,27.6400
3596954.0000,0.0947,-0.0586,9.7800,-0.0082,0.0011,-0.0001,27.6400
3619954.0000,-0.0453,-0.0186,9.8700,0.0018,0.0011,-0.0001,27.7300
3642954.0000,-0.0153,-0.0186,9.7700,0.0018,0.0011,-0.0001,27.7300
3665954.0000,0.0147,0.0514,9.8000,0.0018,0.0011,-0.0001,27.6800
3688954.0000,-0.0353,-0.0386,9.8200,0.0018,0.0011,-0.0001,27.6800
3711953.0000,-0.0153,0.0014,9.7800,-0.0082,0.0011,-0.0001,27.7800
3734954.0000,-0.0253,-0.0186,9.8200,-0.0082,0.0011,-0.0001,27.6800
3757953.0000,0.0547,0.0114,9.8300,-0.0082,-0.0089,-0.0001,27.7800
3780954.0000,-0.0653,-0.0386,9.8400,-0.0082,0.0011,-0.0001,27.6400
3803954.0000,-0.0853,0.0014,9.8300,0.0018,0.0011,-0.0001,27.6400
3826954.0000,-0.0353,-0.0386,9.7100,0.0018,0.0011,-0.0001,27.7300
3849954.0000,-0.0053,-0.0386,9.9200,0.0018,0.0011,-0.0001,27.7300
3872954.0000,0.0247,-0.0086,9.6800,0.0018,0.0011,-0.0001,27.6800
3895953.0000,-0.0153,-0.0086,9.9100,0.0018,0.0011,-0.0001,27.7800
3918953.0000,0.0447,0.0414,10.0200,0.0018,0.0011,-0.0001,27.7800
3941954.0000,-0.0253,-0.0686,10.0400,0.0018,-0.0089,-0.0001,27.6800
3964954.0000,0.0147,0.0114,9.8900,0.0018,-0.0089,-0.0001,27.6400
3987954.0000,-0.0053,-0.0186,9.8700,0.0018,0.0011,-0.0001,27.7300
4010954.0000,0.0047,-0.0086,9.8900,0.0018,0.0011,-0.0001,27.7300
4033954.0000,0.0147,0.0914,9.9000,0.0018,0.0011,-0.0001,27.7300
4056954.0000,0.0347,0.0414,9.7700,0.0018,0.0011,-0.0001,27.7300
4079954.0000,0.0447,-0.0786,9.7600,0.0018,0.0011,-0.0001,27.6800
4102953.0000,0.0247,0.0214,9.7400,0.0018,0.0011,-0.0001,27.7800
4125954.0000,0.0047,0.0014,9.8300,0.0018,0.0011,-0.0001,27.5900
4148954.0000,0.0347,0.0514,9.9800,0.0018,0.0011,-0.0001,27.6800
4171954.0000,0.0347,-0.0486,9.9000,0.0018,0.0011,-0.0001,27.7300
4194954.0000,-0.0353,-0.0086,9.8300,0.0018,0.0011,-0.0001,27.6400
4217954.0000,-0.0053,0.0114,9.8300,0.0018,0.0011,-0.0001,27.6400
4240954.0000,0.0247,0.0414,9.8000,-0.0082,0.0011,-0.0001,27.7300
4263954.0000,-0.0253,-0.0186,9.7600,0.0018,0.0011,-0.0001,27.7300
4286954.0000,0.0047,0.0214,9.8700,0.0018,0.0011,-0.0001,27.6400
4309954.0000,-0.0553,-0.0086,9.8800,0.0018,0.0011,-0.0001,27.6800
4332954.0000,-0.0053,-0.0486,9.7600,0.0018,0.0011,-0.0001,27.6800
4355954.0000,0.0147,0.0214,9.8100,0.0018,-0.0089,-0.0001,27.6800
4378954.0000,-0.0153,-0.0086,9.7400,-0.0082,0.0011,-0.0001,27.7300
4401954.0000,0.0347,0.0014,9.7700,0.0018,0.0011,-0.0001,27.7300
4424954.0000,-0.0153,0.0214,9.7700,0.0018,0.0011,-0.0001,27.7300
4447954.0000,0.0147,0.0314,9.7800,-0.0082,0.0011,-0.0001,27.6400
4470954.0000,0.0247,-0.0386,9.8500,-0.0082,-0.0089,-0.0001,27.6800
4493954.0000,-0.0253,0.0014,9.7200,0.0018,0.0011,-0.0001,27.6800
4516953.0000,0.0247,-0.0086,9.7900,0.0018,-0.0089,-0.0001,27.7800
4539953.0000,-0.0853,0.0014,9.8100,0.0018,0.0011,-0.0001,27.7800
4562953.0000,0.0547,-0.0186,9.8200,-0.0082,0.0011,-0.0001,27.7800
4585954.0000,-0.0353,-0.0086,9.9100,0.0018,0.0011,-0.0001,27.7300
4608954.0000,-0.0653,0.0014,9.9200,0.0018,0.0011,-0.0001,27.7300
4631954.0000,0.0047,0.0014,9.7300,0.0018,-0.0089,-0.0001,27.7300
4654954.0000,-0.0753,0.0114,9.8400,-0.0082,0.0011,-0.0001,27.7300
4677954.0000,-0.0653,-0.0186,9.8000,0.0018,0.0011,-0.0001,27.6800
4700953.0000,-0.0153,-0.0286,9.7600,0.0018,0.0011,-0.0001,27.7800
4723954.0000,-0.0153,-0.0286,9.8400,0.0018,0.0011,-0.0001,27.6800
4746954.0000,0.0147,-0.0086,9.8500,0.0018,0.0011,-0.0001,27.6800
4769954.0000,0.0347,-0.0086,9.8100,-0.0082,0.0011,-0.0001,27.7300
4792954.0000,0.0547,-0.0186,9.8100,0.0018,0.0011,-0.0001,27.7300
4815954.0000,0.0147,-0.0286,9.8700,0.0018,0.0011,-0.0001,27.7300
4838954.0000,0.0147,-0.0186,9.7700,0.0018,0.0011,-0.0001,27.7300
4861954.0000,0.0447,-0.0086,9.7200,-0.0082,0.0011,-0.0001,27.6400
4884954.0000,0.0047,0.0014,9.8000,0.0018,-0.0089,-0.0001,27.6800
4907954.0000,-0.0053,0.0214,9.7700,0.0018,0.0011,-0.0001,27.5900
4930953.0000,0.0147,0.0014,9.8600,-0.0082,0.0011,-0.0001,27.7800
4953953.0000,0.0147,0.0114,9.7200,0.0018,0.0011,-0.0001,27.7800
4976954.0000,-0.0153,-0.0086,9.7400,-0.0082,0.0011,-0.0001,27.7300
4999954.0000,-0.0053,0.0114,9.7200,0.0018,0.0011,-0.0001,27.7300
5022954.0000,0.0047,0.0614,9.7900,0.0018,0.0011,-0.0001,27.8200
5045954.0000,-0.0553,-0.0086,9.8200,0.0018,-0.0089,-0.0001,27.6400
5068954.0000,-0.0353,0.0314,9.7100,0.0018,0.0011,-0.0001,27.6400
5091954.0000,0.0047,0.0014,9.8700,0.0018,0.0011,-0.0001,27.6400
5114954.0000,0.0747,0.0014,9.8500,0.0018,0.0011,-0.0001,27.6800
5137954.0000,0.0147,0.0314,9.8300,0.0018,0.0011,-0.0001,27.6800
5160954.0000,0.0447,-0.0286,9.7800,0.0018,0.0011,-0.0001,27.6800
5183954.0000,-0.0453,-0.0086,9.8200,0.0018,0.0011,-0.0001,27.6400
5206954.0000,0.0247,-0.0086,9.8700,0.0018,0.0011,-0.0001,27.7300
5229954.0000,0.0247,-0.0286,9.7900,0.0018,-0.0089,-0.0001,27.6400
5252954.0000,0.0247,0.0014,9.9000,0.0018,0.0011,-0.0001,27.7300
5275954.0000,-0.0153,-0.0086,9.7600,-0.0082,0.0011,-0.0001,27.6800
5298953.0000,0.0247,0.0214,9.8200,0.0018,0.0011,-0.0001,27.7800
5321954.0000,0.0847,0.0314,9.8200,0.0018,0.0011,-0.0001,27.6800
5344953.0000,-0.0353,0.0314,9.8300,0.0018,0.0011,-0.0001,27.7800
5367954.0000,0.0247,0.0314,9.7300,0.0018,0.0011,-0.0001,27.6400
5390954.0000,0.0147,0.0014,9.8200,0.0018,0.0011,-0.0001,27.6400
5413954.0000,0.0147,-0.0086,9.8700,-0.0082,0.0011,-0.0001,27.8200
5436954.0000,0.0247,0.0114,9.7700,-0.0082,0.0011,-0.0001,27.6400
5459954.0000,-0.0253,-0.0486,9.7400,0.0018,0.0011,-0.0001,27.8200
5482954.0000,0.0447,-0.0686,9.8300,0.0018,0.0011,-0.0001,27.5900
5505954.0000,-0.0353,-0.0786,9.8300,-0.0082,0.0011,-0.0001,27.6800
5528954.0000,-0.0553,-0.0086,9.9300,0.0018,0.0011,-0.0001,27.6800
5551954.0000,-0.0253,0.0714,9.6700,-0.0082,0.0011,-0.0001,27.6800
5574954.0000,0.0147,0.0114,9.8000,0.0018,0.0011,-0.0001,27.7300
5597954.0000,0.0447,0.0514,9.7800,-0.0082,0.0011,-0.0001,27.7300
5620954.0000,-0.0153,-0.0086,9.9700,0.0018,0.0011,-0.0001,27.8200
5643954.0000,0.0147,0.0114,9.8200,-0.0082,0.0011,-0.0001,27.7300
5666954.0000,-0.0153,-0.0386,9.9000,0.0018,0.0011,-0.0001,27.6800
5689954.0000,0.0247,0.0014,9.7300,0.0018,0.0011,-0.0001,27.6800
5712954.0000,0.0247,0.0014,9.9100,0.0018,0.0011,-0.0001,27.5900
5735954.0000,0.0147,0.0814,9.7900,-0.0082,0.0011,0.0099,27.6800
5758953.0000,-0.0153,0.0314,9.7100,-0.0082,-0.0089,-0.0001,27.7800
5781954.0000,-0.0053,-0.0586,9.8400,0.0018,0.0011,-0.0001,27.7300
5804954.0000,0.0647,0.0114,9.7100,0.0018,0.0011,-0.0001,27.7300
5827954.0000,-0.0153,0.0314,9.8900,-0.0082,0.0011,-0.0001,27.7300
5850954.0000,-0.1053,0.0614,9.7100,-0.0082,0.0011,-0.0001,27.7300
5873954.0000,0.0747,0.0114,9.9300,0.0018,-0.0089,-0.0001,27.7300
5896954.0000,0.1047,-0.0586,9.7600,0.0018,0.0011,-0.0001,27.8200
5919954.0000,-0.0653,0.1014,9.8200,0.0018,-0.0089,-0.0001,27.6800
5942953.0000,-0.0453,0.1114,9.7200,0.0018,0.0011,-0.0001,27.7800
5965953.0000,0.0347,0.0014,9.7700,0.0018,-0.0089,-0.0001,27.7800
5988954.0000,0.0747,-0.0886,9.8600,-0.0082,0.0011,-0.0001,27.7300
6011954.0000,-0.0853,0.0214,9.7900,0.0018,-0.0089,-0.0001,27.7300
6034954.0000,-0.0353,-0.0086,9.8300,0.0018,0.0011,-0.0001,27.7300
6057954.0000,0.0247,-0.0386,9.7500,0.0018,-0.0089,-0.0001,27.7300
