Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
3803953.0,0.17,-0.11,9.17,-0.04,0.02,-0.01,24.81
3826953.0,0.37,-0.06,9.21,-0.04,0.03,-0.01,24.86
3849953.0,0.4,-0.15,9.11,-0.04,0.03,-0.01,24.86
3872953.0,0.26,-0.03,9.27,-0.04,0.03,-0.01,24.77
3895953.0,0.26,-0.08,9.23,-0.04,0.02,-0.01,24.86
3918953.0,0.33,-0.08,9.24,-0.04,0.03,-0.01,24.81
3941953.0,0.37,-0.02,9.22,-0.04,0.03,-0.01,24.91
3964953.0,0.33,-0.13,9.16,-0.04,0.02,-0.01,24.81
3987953.0,0.29,-0.03,9.27,-0.04,0.02,-0.01,24.91
4010953.0,0.36,-0.0,9.17,-0.04,0.03,-0.01,24.77
4033953.0,0.34,-0.11,9.17,-0.04,0.03,-0.01,24.86
4056953.0,0.37,-0.07,9.04,-0.04,0.02,-0.01,24.86
4079953.0,0.34,-0.06,9.25,-0.04,0.02,-0.01,24.77
4102953.0,0.32,-0.04,9.35,-0.05,0.03,-0.01,24.86
4125953.0,0.27,-0.15,9.11,-0.05,0.03,-0.01,24.86
4148953.0,0.32,-0.09,9.21,-0.04,0.03,-0.01,24.81
4171953.0,0.24,-0.07,9.07,-0.05,0.03,-0.01,24.91
4194953.0,0.31,-0.06,9.12,-0.04,0.03,-0.01,24.91
4217953.0,0.29,-0.09,9.12,-0.04,0.03,-0.01,24.86
4240953.0,0.3,-0.05,9.25,-0.04,0.03,-0.01,24.86
4263953.0,0.27,-0.01,9.26,-0.04,0.03,-0.01,24.86
4286953.0,0.33,-0.1,9.21,-0.04,0.03,-0.01,24.86
4309953.0,0.32,-0.05,9.2,-0.04,0.02,-0.01,24.81
4332953.0,0.28,-0.02,9.14,-0.04,0.03,-0.01,24.72
4355953.0,0.27,-0.02,9.17,-0.04,0.03,-0.01,24.81
4378953.0,0.31,-0.03,9.27,-0.05,0.03,-0.01,24.81
4401953.0,0.3,-0.04,9.23,-0.04,0.03,-0.01,24.95
4424953.0,0.28,-0.1,9.2,-0.04,0.03,-0.01,24.86
4447953.0,0.31,-0.1,9.17,-0.04,0.03,-0.01,24.86
