Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
1871962.0,0.21,-0.06,9.16,-0.05,0.03,-0.01,22.74
1894962.0,0.25,0.02,9.1,-0.04,0.03,-0.01,22.69
1917962.0,0.31,-0.04,9.2,-0.04,0.03,-0.01,22.6
1940962.0,0.29,-0.03,9.2,-0.04,0.02,-0.01,22.69
1963962.0,0.29,-0.03,9.11,-0.04,0.02,-0.01,22.69
1986962.0,0.32,-0.04,9.14,-0.04,0.03,-0.01,22.65
2009962.0,0.28,-0.02,9.22,-0.04,0.02,-0.01,22.65
2032962.0,0.25,-0.04,9.2,-0.04,0.02,-0.01,22.74
2055962.0,0.24,-0.02,9.13,-0.04,0.03,-0.01,22.65
2078962.0,0.22,-0.03,9.23,-0.04,0.02,-0.01,22.6
2101962.0,0.32,-0.03,9.23,-0.05,0.02,-0.01,22.6
2124962.0,0.31,0.0,9.22,-0.04,0.02,-0.01,22.69
2147962.0,0.3,-0.03,9.2,-0.04,0.02,-0.01,22.69
2170962.0,0.34,-0.12,9.14,-0.04,0.03,-0.01,22.74
2193962.0,0.23,-0.04,9.17,-0.04,0.02,-0.01,22.65
2216962.0,0.24,0.06,9.26,-0.04,0.02,-0.01,22.65
2239962.0,0.24,-0.11,9.11,-0.04,0.02,-0.01,22.65
2262962.0,0.27,-0.05,9.17,-0.04,0.03,-0.01,22.79
2285962.0,0.24,-0.1,9.09,-0.04,0.02,-0.01,22.69
2308962.0,0.28,-0.01,9.14,-0.05,0.02,-0.01,22.69
2331962.0,0.3,-0.03,9.12,-0.05,0.02,-0.01,22.6
2354962.0,0.29,0.02,9.33,-0.05,0.02,-0.01,22.65
2377962.0,0.32,-0.04,9.22,-0.04,0.03,-0.01,22.65
2400962.0,0.24,0.0,9.24,-0.04,0.03,-0.01,22.65
2423962.0,0.27,-0.05,9.2,-0.04,0.02,-0.01,22.65
2446962.0,0.21,-0.06,9.26,-0.04,0.02,-0.01,22.69
2469962.0,0.28,-0.03,9.23,-0.04,0.02,-0.01,22.69
2492962.0,0.25,-0.07,9.19,-0.04,0.02,-0.01,22.6
2515962.0,0.2,-0.0,9.2,-0.04,0.02,-0.01,22.69
2538962.0,0.3,-0.04,9.24,-0.04,0.02,-0.01,22.69
2561962.0,0.23,-0.02,9.12,-0.04,0.02,-0.01,22.74
2584962.0,0.27,-0.03,9.16,-0.04,0.03,-0.01,22.74
2607962.0,0.33,-0.02,9.19,-0.04,0.02,-0.01,22.65
2630962.0,0.26,-0.11,9.26,-0.04,0.02,-0.01,22.69
2653962.0,0.22,0.02,9.19,-0.04,0.02,-0.01,22.69
2676962.0,0.29,-0.04,9.21,-0.04,0.03,-0.01,22.6
2699962.0,0.28,-0.13,9.15,-0.04,0.03,-0.01,22.69
2722962.0,0.34,-0.03,9.14,-0.04,0.02,-0.01,22.65
2745962.0,0.3,0.0,9.22,-0.04,0.03,-0.01,22.74
2768962.0,0.24,-0.09,9.12,-0.04,0.02,-0.01,22.65
2791962.0,0.26,-0.04,9.21,-0.04,0.03,-0.01,22.65
2814962.0,0.31,-0.0,9.21,-0.04,0.02,-0.01,22.69
2837962.0,0.27,-0.08,9.13,-0.04,0.03,-0.01,22.6
2860962.0,0.27,-0.03,9.12,-0.04,0.02,-0.01,22.79
2883962.0,0.26,-0.05,9.09,-0.04,0.02,-0.01,22.69
2906962.0,0.27,-0.06,9.15,-0.04,0.03,-0.01,22.65
2929962.0,0.21,-0.06,9.13,-0.04,0.03,-0.01,22.65
2952962.0,0.24,-0.04,9.25,-0.04,0.02,-0.01,22.65
2975962.0,0.34,-0.03,9.04,-0.04,0.03,-0.01,22.65
2998962.0,0.24,-0.08,9.2,-0.04,0.02,-0.01,22.69
3021962.0,0.26,-0.14,9.21,-0.04,0.02,-0.01,22.69
3044962.0,0.3,-0.0,9.21,-0.04,0.03,-0.01,22.69
3067962.0,0.26,-0.07,9.19,-0.04,0.02,-0.01,22.69
3090962.0,0.25,-0.12,9.11,-0.04,0.02,-0.01,22.65
3113962.0,0.25,-0.05,9.18,-0.05,0.03,-0.01,22.74
3136962.0,0.22,-0.02,9.17,-0.05,0.02,-0.01,22.65
3159962.0,0.29,-0.03,9.22,-0.04,0.02,-0.01,22.65
3182962.0,0.25,-0.08,9.19,-0.04,0.02,-0.01,22.69
3205962.0,0.23,-0.03,9.3,-0.04,0.03,-0.01,22.69
3228962.0,0.31,-0.01,9.15,-0.04,0.02,-0.01,22.69
3251962.0,0.29,-0.04,9.17,-0.04,0.02,-0.01,22.69
3274962.0,0.33,-0.05,9.22,-0.04,0.02,-0.01,22.6
3297962.0,0.16,0.01,9.31,-0.04,0.03,-0.01,22.74
3320962.0,0.28,-0.1,9.21,-0.04,0.02,-0.01,22.65
