Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
3826954.0,0.29,-0.03,9.12,-0.04,0.03,-0.01,27.73
3849954.0,0.32,-0.03,9.33,-0.04,0.03,-0.01,27.73
3872954.0,0.35,0.0,9.09,-0.04,0.03,-0.01,27.68
3895953.0,0.31,0.0,9.32,-0.04,0.03,-0.01,27.78
3918953.0,0.37,0.05,9.43,-0.04,0.03,-0.01,27.78
3941954.0,0.3,-0.06,9.45,-0.04,0.02,-0.01,27.68
3964954.0,0.34,0.02,9.3,-0.04,0.02,-0.01,27.64
3987954.0,0.32,-0.01,9.28,-0.04,0.03,-0.01,27.73
4010954.0,0.33,0.0,9.3,-0.04,0.03,-0.01,27.73
4033954.0,0.34,0.1,9.31,-0.04,0.03,-0.01,27.73
4056954.0,0.36,0.05,9.18,-0.04,0.03,-0.01,27.73
4079954.0,0.37,-0.07,9.17,-0.04,0.03,-0.01,27.68
4102953.0,0.35,0.03,9.15,-0.04,0.03,-0.01,27.78
4125954.0,0.33,0.01,9.24,-0.04,0.03,-0.01,27.59
4148954.0,0.36,0.06,9.39,-0.04,0.03,-0.01,27.68
4171954.0,0.36,-0.04,9.31,-0.04,0.03,-0.01,27.73
4194954.0,0.29,0.0,9.24,-0.04,0.03,-0.01,27.64
4217954.0,0.32,0.02,9.24,-0.04,0.03,-0.01,27.64
4240954.0,0.35,0.05,9.21,-0.05,0.03,-0.01,27.73
4263954.0,0.3,-0.01,9.17,-0.04,0.03,-0.01,27.73
4286954.0,0.33,0.03,9.28,-0.04,0.03,-0.01,27.64
4309954.0,0.27,-0.0,9.29,-0.04,0.03,-0.01,27.68
4332954.0,0.32,-0.04,9.17,-0.04,0.03,-0.01,27.68
4355954.0,0.34,0.03,9.22,-0.04,0.02,-0.01,27.68
4378954.0,0.31,0.0,9.15,-0.05,0.03,-0.01,27.73
4401954.0,0.36,0.01,9.18,-0.04,0.03,-0.01,27.73
4424954.0,0.31,0.03,9.18,-0.04,0.03,-0.01,27.73
4447954.0,0.34,0.04,9.19,-0.05,0.03,-0.01,27.64
4470954.0,0.35,-0.03,9.26,-0.05,0.02,-0.01,27.68
4493954.0,0.3,0.01,9.13,-0.04,0.03,-0.01,27.68
4516953.0,0.35,0.0,9.2,-0.04,0.02,-0.01,27.78
4539953.0,0.24,0.01,9.22,-0.04,0.03,-0.01,27.78
4562953.0,0.38,-0.01,9.23,-0.05,0.03,-0.01,27.78
4585954.0,0.29,-0.0,9.32,-0.04,0.03,-0.01,27.73
4608954.0,0.26,0.01,9.33,-0.04,0.03,-0.01,27.73
4631954.0,0.33,0.01,9.14,-0.04,0.02,-0.01,27.73
4654954.0,0.25,0.02,9.25,-0.05,0.03,-0.01,27.73
4677954.0,0.26,-0.01,9.21,-0.04,0.03,-0.01,27.68
4700953.0,0.31,-0.02,9.17,-0.04,0.03,-0.01,27.78
4723954.0,0.31,-0.02,9.25,-0.04,0.03,-0.01,27.68
4746954.0,0.34,0.0,9.26,-0.04,0.03,-0.01,27.68
4769954.0,0.36,-0.0,9.22,-0.05,0.03,-0.01,27.73
4792954.0,0.38,-0.01,9.22,-0.04,0.03,-0.01,27.73
4815954.0,0.34,-0.02,9.28,-0.04,0.03,-0.01,27.73
4838954.0,0.34,-0.01,9.18,-0.04,0.03,-0.01,27.73
4861954.0,0.37,0.0,9.13,-0.05,0.03,-0.01,27.64
4884954.0,0.33,0.01,9.21,-0.04,0.02,-0.01,27.68
4907954.0,0.32,0.03,9.18,-0.04,0.03,-0.01,27.59
4930953.0,0.34,0.01,9.27,-0.05,0.03,-0.01,27.78
4953953.0,0.34,0.02,9.13,-0.04,0.03,-0.01,27.78
4976954.0,0.31,0.0,9.15,-0.05,0.03,-0.01,27.73
4999954.0,0.32,0.02,9.13,-0.04,0.03,-0.01,27.73
5022954.0,0.33,0.07,9.2,-0.04,0.03,-0.01,27.82
5045954.0,0.27,-0.0,9.23,-0.04,0.02,-0.01,27.64
5068954.0,0.29,0.04,9.12,-0.04,0.03,-0.01,27.64
5091954.0,0.33,0.01,9.28,-0.04,0.03,-0.01,27.64
5114954.0,0.4,0.01,9.26,-0.04,0.03,-0.01,27.68
5137954.0,0.34,0.04,9.24,-0.04,0.03,-0.01,27.68
5160954.0,0.37,-0.02,9.19,-0.04,0.03,-0.01,27.68
5183954.0,0.28,-0.0,9.23,-0.04,0.03,-0.01,27.64
5206954.0,0.35,-0.0,9.28,-0.04,0.03,-0.01,27.73
5229954.0,0.35,-0.02,9.2,-0.04,0.02,-0.01,27.64
5252954.0,0.35,0.01,9.31,-0.04,0.03,-0.01,27.73
5275954.0,0.31,0.0,9.17,-0.05,0.03,-0.01,27.68
5298953.0,0.35,0.03,9.23,-0.04,0.03,-0.01,27.78
5321954.0,0.41,0.04,9.23,-0.04,0.03,-0.01,27.68
5344953.0,0.29,0.04,9.24,-0.04,0.03,-0.01,27.78
5367954.0,0.35,0.04,9.14,-0.04,0.03,-0.01,27.64
5390954.0,0.34,0.01,9.23,-0.04,0.03,-0.01,27.64
5413954.0,0.34,0.0,9.28,-0.05,0.03,-0.01,27.82
5436954.0,0.35,0.02,9.18,-0.05,0.03,-0.01,27.64
5459954.0,0.3,-0.04,9.15,-0.04,0.03,-0.01,27.82
5482954.0,0.37,-0.06,9.24,-0.04,0.03,-0.01,27.59
5505954.0,0.29,-0.07,9.24,-0.05,0.03,-0.01,27.68
5528954.0,0.27,0.0,9.34,-0.04,0.03,-0.01,27.68
5551954.0,0.3,0.08,9.08,-0.05,0.03,-0.01,27.68
5574954.0,0.34,0.02,9.21,-0.04,0.03,-0.01,27.73
5597954.0,0.37,0.06,9.19,-0.05,0.03,-0.01,27.73
5620954.0,0.31,0.0,9.38,-0.04,0.03,-0.01,27.82
5643954.0,0.34,0.02,9.23,-0.05,0.03,-0.01,27.73
5666954.0,0.31,-0.03,9.31,-0.04,0.03,-0.01,27.68
5689954.0,0.35,0.01,9.14,-0.04,0.03,-0.01,27.68
5712954.0,0.35,0.01,9.32,-0.04,0.03,-0.01,27.59
5735954.0,0.34,0.09,9.2,-0.05,0.03,-0.0,27.68
5758953.0,0.31,0.04,9.12,-0.05,0.02,-0.01,27.78
5781954.0,0.32,-0.05,9.25,-0.04,0.03,-0.01,27.73
5804954.0,0.39,0.02,9.12,-0.04,0.03,-0.01,27.73
5827954.0,0.31,0.04,9.3,-0.05,0.03,-0.01,27.73
5850954.0,0.22,0.07,9.12,-0.05,0.03,-0.01,27.73
5873954.0,0.4,0.02,9.34,-0.04,0.02,-0.01,27.73
5896954.0,0.43,-0.05,9.17,-0.04,0.03,-0.01,27.82
5919954.0,0.26,0.11,9.23,-0.04,0.02,-0.01,27.68
5942953.0,0.28,0.12,9.13,-0.04,0.03,-0.01,27.78
5965953.0,0.36,0.01,9.18,-0.04,0.02,-0.01,27.78
5988954.0,0.4,-0.08,9.27,-0.05,0.03,-0.01,27.73
6011954.0,0.24,0.03,9.2,-0.04,0.02,-0.01,27.73
6034954.0,0.29,-0.0,9.24,-0.04,0.03,-0.01,27.73
6057954.0,0.35,-0.03,9.16,-0.04,0.02,-0.01,27.73
6080953.0,0.5,0.01,9.15,-0.05,0.03,-0.01,27.78
6103954.0,0.28,0.03,9.11,-0.04,0.02,-0.01,27.68
6126954.0,0.21,0.07,9.46,-0.05,0.03,-0.01,27.68
6149954.0,0.31,-0.05,8.98,-0.05,0.03,-0.01,27.68
6172954.0,0.46,-0.06,9.3,-0.04,0.03,-0.01,27.73
6195954.0,0.32,-0.07,9.25,-0.04,0.03,-0.0,27.73
6218954.0,0.22,0.11,9.08,-0.05,0.03,-0.01,27.73
6241954.0,0.2,0.04,9.23,-0.04,0.03,-0.01,27.82
6264954.0,0.41,-0.05,9.2,-0.05,0.03,-0.01,27.73
6287953.0,0.33,-0.03,9.17,-0.04,0.03,-0.01,27.78
6310954.0,0.25,0.09,9.22,-0.04,0.03,-0.01,27.68
6333954.0,0.31,-0.03,9.19,-0.04,0.03,-0.01,27.68
6356954.0,0.34,-0.09,9.27,-0.04,0.03,-0.01,27.68
6379954.0,0.26,-0.04,9.14,-0.04,0.03,-0.01,27.64
6402954.0,0.32,0.08,9.19,-0.04,0.03,-0.01,27.64
6425954.0,0.42,-0.03,9.14,-0.04,0.03,-0.01,27.64
6448954.0,0.27,-0.06,9.2,-0.04,0.03,-0.01,27.73
6471954.0,0.32,0.07,9.19,-0.04,0.03,-0.01,27.68
6494954.0,0.33,-0.02,9.16,-0.04,0.03,-0.01,27.68
6517954.0,0.29,-0.02,9.34,-0.04,0.03,-0.01,27.68
6540953.0,0.28,-0.01,9.27,-0.04,0.03,-0.01,27.78
6563953.0,0.32,0.02,9.12,-0.05,0.02,-0.01,27.78
6586954.0,0.33,-0.03,9.21,-0.05,0.03,-0.01,27.73
6609954.0,0.32,-0.01,9.28,-0.04,0.03,-0.01,27.73
6632954.0,0.29,0.05,9.31,-0.05,0.03,-0.01,27.73
6655954.0,0.33,0.01,9.17,-0.04,0.03,-0.01,27.64
6678954.0,0.34,0.03,9.19,-0.04,0.03,-0.01,27.64
6701954.0,0.32,-0.03,9.22,-0.05,0.03,-0.01,27.73
6724953.0,0.26,0.02,9.22,-0.04,0.03,-0.01,27.78
6747954.0,0.29,0.02,9.21,-0.04,0.03,-0.01,27.59
6770954.0,0.31,0.0,9.18,-0.04,0.03,-0.01,27.64
6793954.0,0.35,0.02,9.17,-0.04,0.03,-0.01,27.73
6816954.0,0.25,0.04,9.25,-0.04,0.03,-0.01,27.64
6839954.0,0.37,0.01,9.13,-0.05,0.03,-0.01,27.73
6862954.0,0.37,-0.02,9.22,-0.04,0.02,-0.01,27.73
6885954.0,0.37,0.06,9.25,-0.04,0.03,-0.01,27.68
6908954.0,0.26,-0.05,9.32,-0.04,0.03,-0.01,27.68
6931953.0,0.31,0.01,9.25,-0.04,0.03,-0.01,27.78
6954953.0,0.33,0.01,9.19,-0.05,0.03,-0.01,27.78
6977954.0,0.32,0.02,9.27,-0.04,0.03,-0.01,27.73
7000954.0,0.32,-0.0,9.17,-0.04,0.03,-0.01,27.73
7023954.0,0.39,0.0,9.14,-0.04,0.03,-0.01,27.73
7046954.0,0.36,0.01,9.22,-0.04,0.02,-0.01,27.73
7069954.0,0.31,0.03,9.27,-0.04,0.03,-0.01,27.73
7092953.0,0.25,0.03,9.14,-0.04,0.03,-0.01,27.78
7115954.0,0.36,-0.04,9.26,-0.04,0.03,-0.01,27.68
7138954.0,0.29,-0.01,9.18,-0.04,0.03,-0.01,27.68
7161953.0,0.3,0.06,9.24,-0.04,0.03,-0.01,27.78
7184954.0,0.28,0.0,9.27,-0.04,0.03,-0.01,27.64
7207954.0,0.33,-0.01,9.21,-0.04,0.03,-0.01,27.73
7230954.0,0.36,0.04,9.17,-0.04,0.03,-0.01,27.73
7253954.0,0.28,-0.01,9.27,-0.04,0.03,-0.01,27.64
7276954.0,0.33,0.02,9.29,-0.05,0.03,-0.01,27.68
7299954.0,0.29,0.03,9.23,-0.04,0.02,-0.01,27.68
7322954.0,0.32,0.06,9.24,-0.04,0.03,-0.01,27.68
